"Madre","Fnac","Nombre","Tipologia","Npartos","Nabortos","Nservicios","Lote","Observacion","FaproxParto","IDA","fepre","fecs","FECUP","Vaquera"
"    16","1994-01-01 00:00:00","","VACA PROD.VACIA","0","0","0"," A MEDIA LOTE 33 ","TRANSFERENCIA AUTOMATICA","","0","","","1998-05-01 00:00:00","Rebaño de la Finca"
"   668","1991-10-21 00:00:00","OREJA GACHA","VACA PROD.VACIA","4","","1","L1 VAC ORD","TIENE LA OREJA IZQ. GACHA","","0","","","1999-04-29 00:00:00","Rebaño de la Finca"
"   670","1992-03-05 00:00:00","BERTA","VACA PREÑADA","5","","0"," A MEDIA LOTE 33 ","","2018-04-14 00:00:00","0","2017-07-08 00:00:00","","1999-05-23 00:00:00","Rebaño de la Finca"
"   684","1992-01-01 00:00:00","CHOCOLATE","VACA PROD.VACIA","5","","1","L1 VAC ORD","","","0","","","1999-05-22 00:00:00","Rebaño de la Finca"
"   731","1992-02-12 00:00:00","BAYA","VACA PROD.VACIA","4","","0","L1 VAC ORD","","","0","","","1999-06-13 00:00:00","Rebaño de la Finca"
"   735","1992-06-02 00:00:00","TETA E' GOMA","VACA PROD.VACIA","5","","0","L1 VAC ORD","","","0","","","1999-07-08 00:00:00","Rebaño de la Finca"
"   747","1992-10-15 00:00:00","MIRAFLORES","VACA PROD.VACIA","4","","1","L1 VAC ORD","","1999-08-23 00:00:00","0","1998-11-11 00:00:00","","1999-08-17 00:00:00","Rebaño de la Finca"
"   787","1993-11-01 00:00:00","MELODIA","VACA PROD.VACIA","4","","1","L1 VAC ORD","","","0","","","1999-08-12 00:00:00","Rebaño de la Finca"
"   900","1993-10-10 00:00:00","COLORETE","VACA PROD.VACIA","3","","1","L1 VAC ORD","","","0","","","1999-06-10 00:00:00","Rebaño de la Finca"
"   956","1995-03-03 00:00:00","JUANA","VACA PROD.VACIA","3","","1","L1 VAC ORD","","","0","","","1999-06-10 00:00:00","Rebaño de la Finca"
"   959","1995-07-10 00:00:00","TORIBIA","VACA PROD.VACIA","3","","1","L1 VAC ORD","","","0","","","1999-08-15 00:00:00","Rebaño de la Finca"
"   963","1995-04-10 00:00:00","MOTOCICLETA","VACA PROD.VACIA","2","","0","L1 VAC ORD","CUERNOS HACIA ABAJO","","0","","","1999-09-10 00:00:00","Rebaño de la Finca"
"45200","2006-02-17 00:00:00","","VACA VACIA","2","","0","LOTE IA","","","0","","","2010-01-20 00:00:00",""
"00/2","2000-10-23 00:00:00","","VACA VACIA SIN CRIA","1","","1","NOVILLAS INSEMINADAS 2012","","","0","","","2014-10-18 00:00:00",""
"003JB","1988-11-11 00:00:00","003JB","VACA VACIA SIN CRIA","3","1","0","2 MACHOS","","","0","","","2001-06-22 00:00:00",""
"004","1988-11-11 00:00:00","004SA","VACA VACIA","3","0","1","3 HEMBRAS","","","0","","","2001-06-22 00:00:00","Rebaño de la Finca"
"005","1988-11-11 00:00:00","005EF","VACA VACIA","2","0","0","L1 VAC ORD","","","0","","","1999-07-02 00:00:00","Rebaño de la Finca"
"007","1988-11-11 00:00:00","007SA","VACA VACIA","2","0","0","L1 VAC ORD","","","0","","","2003-05-02 00:00:00","Rebaño de la Finca"
"007JB","1988-11-11 00:00:00","007JB","VACA VACIA SIN CRIA","1","1","0","L1","","","0","","","1998-03-23 00:00:00","Rebaño de la Finca"
"009","1988-11-11 00:00:00","009SA","VACA VACIA","0","0","1","L1","","1998-03-13 00:00:00","0","1997-06-01 00:00:00","","","Rebaño de la Finca"
"010","1988-11-11 00:00:00","010SA","VACA VACIA SIN CRIA","0","1","0","L1","","","0","","","","Rebaño de la Finca"
"011","1988-11-11 00:00:00","011JB","VACA VACIA SIN CRIA","2","0","1","L1 VAC ORD","","","0","","","2001-06-22 00:00:00","Rebaño de la Finca"
"012","1988-11-11 00:00:00","012JB","VACA PROD.VACIA","1","1","0","L1","T MORT.","","0","","","1998-03-25 00:00:00","Rebaño de la Finca"
"012345678901","1991-04-09 00:00:00","","VACA VACIA","5","1","0","LOTE IA","","","0","","","2000-07-29 00:00:00","Rebaño de la Finca"
"012G","1988-11-11 00:00:00","012G","VACA PREÑADA","0","0","0","L1","","1999-03-14 00:00:00","0","1998-06-17 00:00:00","","","Rebaño de la Finca"
"013","1988-11-11 00:00:00","013SA","VACA PREÑADA","0","0","0","L1","MADRE DEL OREJA MOCHA","1999-04-13 00:00:00","0","1998-07-17 00:00:00","","","Rebaño de la Finca"
"014","1988-11-11 00:00:00","014SA","VACA VACIA","1","0","0","L1","","","0","","","1998-03-16 00:00:00","Rebaño de la Finca"
"014G","1988-11-11 00:00:00","014G","VACA PREÑADA","0","0","0","L1","P.280","1998-04-13 00:00:00","0","1997-07-02 00:00:00","","","Rebaño de la Finca"
"014JB","1980-11-11 00:00:00","014JB","VACA VACIA","1","0","0","L1","","","0","","","2014-11-27 00:00:00","Rebaño de la Finca"
"015","1988-11-01 00:00:00","015JB","VACA PREÑADA","1","0","0","L1","","1999-02-12 00:00:00","0","1998-05-18 00:00:00","","1998-04-15 00:00:00","Rebaño de la Finca"
"015G","1988-11-11 00:00:00","015G","VACA VACIA","0","0","0","L1","","","0","","","","Rebaño de la Finca"
"015SA","1988-11-11 00:00:00","015SA","VACA VACIA","0","0","0","L1","","","0","","","","Rebaño de la Finca"
"016","1988-11-11 00:00:00","016G","VACA VACIA","1","0","0","L1","","","0","","","1998-04-21 00:00:00","Rebaño de la Finca"
"017","1988-11-11 00:00:00","017G","VACA PREÑADA","0","0","0","L1","","1998-03-15 00:00:00","0","1997-06-03 00:00:00","","","Rebaño de la Finca"
"017SA","1988-11-11 00:00:00","017SA","VACA PREÑADA","0","0","0","L1","","1998-04-13 00:00:00","0","1997-07-02 00:00:00","","","Rebaño de la Finca"
"018","1988-11-11 00:00:00","018G","VACA VACIA","1","0","0","L1","","","0","","","1998-04-29 00:00:00","Rebaño de la Finca"
"019","1988-11-11 00:00:00","019SA","VACA PREÑADA","0","0","0","L1","","1999-03-29 00:00:00","0","1998-07-02 00:00:00","","","Rebaño de la Finca"
"019G","1988-11-11 00:00:00","019G","VACA PREÑADA","0","0","0","L1","","1999-03-14 00:00:00","0","1998-06-17 00:00:00","","","Rebaño de la Finca"
"027","1988-11-11 00:00:00","027SA","VACA PREÑADA","0","0","0","L1","","1998-04-03 00:00:00","0","1997-06-22 00:00:00","","","Rebaño de la Finca"
"028","1988-11-11 00:00:00","028G","VACA PREÑADA","0","0","0","L1","","1999-03-14 00:00:00","0","1998-06-17 00:00:00","","","Rebaño de la Finca"
"111","1997-05-08 00:00:00","111","VACA VACIA","","","0","","","","0","","","2000-02-16 00:00:00","Rebaño de la Finca"
"1512","1990-06-08 00:00:00","MACANILLA","VACA VACIA","3","0","0","7 MATADERO","8-98 4-98","","0","","","1998-03-19 00:00:00","Rebaño de la Finca"
"1529","1990-06-08 00:00:00","BARCELONA","VACA VACIA","4","0","1","7 MATADERO","8-98 4-98","","0","","","2001-06-26 00:00:00","Rebaño de la Finca"
"1549","1990-06-08 00:00:00","LA GRINGA","VACA VACIA SIN CRIA","5","0","1","7 MATADERO","8-98 4-98","","0","","","2001-07-03 00:00:00","Rebaño de la Finca"
"1557","1991-06-08 00:00:00","DANGER","VACA PREÑADA","3","1","0","7 MATADERO","8-98 4-98","2000-05-06 00:00:00","0","1999-08-05 00:00:00","","1999-02-14 00:00:00","Rebaño de la Finca"
"1572","1991-06-08 00:00:00","CAMPANITA","VACA PREÑADA","4","0","0","7 MATADERO","8-98 4-98","2000-07-16 00:00:00","0","1999-10-15 00:00:00","","1999-03-11 00:00:00","Rebaño de la Finca"
"1579","1991-06-08 00:00:00","DOBLE CENA","VACA VACIA SIN CRIA","4","0","0","7 MATADERO","8-98 4-98","","0","","","1999-04-19 00:00:00","Rebaño de la Finca"
"1599","1991-06-13 00:00:00","KARINITA","VACA VACIA","4","0","0","7 MATADERO","8-98 4-98","","0","","","1999-03-14 00:00:00","Rebaño de la Finca"
"1602","1991-06-08 00:00:00","FRANCY","VACA VACIA","4","0","0","7 MATADERO","8-98 4-98","","0","","","1998-11-27 00:00:00","Rebaño de la Finca"
"187","1988-06-07 00:00:00","PALMA SOLA","VACA SECA/HORRA","2","2","0","7 MATADERO","8-98 4-98","1999-04-02 00:00:00","0","1998-07-06 00:00:00","","1998-03-07 00:00:00","Rebaño de la Finca"
"204","1988-06-07 00:00:00","MEDIA JARRA","VACA SECA/HORRA","3","0","0","7 MATADERO","8-98 4-98","1999-06-01 00:00:00","0","1998-09-04 00:00:00","","1998-08-18 00:00:00","Rebaño de la Finca"
"2051","1983-05-10 00:00:00","","VACA VACIA","12","0","0","","VIENE POR TRANSFERENCIA DEL SISTEMA PROGAN...","","0","","","1999-02-02 00:00:00","El ROBLE"
"2212","1998-03-14 00:00:00","","VACA VACIA","9","0","0","","VIENE POR TRANSFERENCIA DEL SISTEMA PROGAN...","","0","","","1998-09-19 00:00:00","El ROBLE"
"224","1988-06-07 00:00:00","SIETE CUERO","VACA VACIA","3","0","0","7 MATADERO","8-98 4-98","1998-09-21 00:00:00","0","1997-12-10 00:00:00","","1997-07-19 00:00:00","Rebaño de la Finca"
"229","1998-03-14 00:00:00","","VACA VACIA","7","0","0","","VIENE POR TRANSFERENCIA DEL SISTEMA PROGAN...","","0","","","1999-03-23 00:00:00","El ROBLE"
"231","1988-06-07 00:00:00","MATEGUAN","VACA VACIA","3","1","0","7 MATADERO","8-98 4-98","","0","","","1998-11-29 00:00:00","Rebaño de la Finca"
"2801","1991-06-08 00:00:00","ROSITA","VACA VACIA","4","0","0","7 MATADERO","8-98 4-98","","0","","","1999-06-28 00:00:00","Rebaño de la Finca"
"2806","1991-06-13 00:00:00","CARABOBO","VACA VACIA","4","0","0","7 MATADERO","8-98 4-98","","0","","","1999-04-02 00:00:00","Rebaño de la Finca"
"2808","1991-06-13 00:00:00","GUACHARACA","VACA VACIA","4","0","0","7 MATADERO","8-98 4-98","","0","","","1998-10-28 00:00:00","Rebaño de la Finca"
"2811","1991-06-13 00:00:00","COMPOTA","VACA VACIA","4","0","0","7 MATADERO","8-98 4-98","","0","","","1999-03-21 00:00:00","Rebaño de la Finca"
"2814","1992-06-09 00:00:00","TRAJE DE NOVIA","VACA VACIA","3","0","0","7 MATADERO","8-98 4-98","","0","","","1998-10-07 00:00:00","Rebaño de la Finca"
"2816","1992-06-09 00:00:00","CARSOLEÑA","VACA VACIA","2","1","0","7 MATADERO","8-98 4-98","","0","","","1999-03-16 00:00:00","Rebaño de la Finca"
"2826","1991-06-08 00:00:00","BIZCOCHUELO","VACA SECA/HORRA","3","0","0","7 MATADERO","8-98 4-98","1999-04-02 00:00:00","0","1998-07-06 00:00:00","","1998-06-15 00:00:00","Rebaño de la Finca"
"2827","1992-06-09 00:00:00"," APUREÑA","VACA VACIA","3","0","0","7 MATADERO","8-98 4-98","","0","","","1999-03-25 00:00:00","Rebaño de la Finca"
"2829","1992-06-09 00:00:00","FONDO BLANCO","VACA VACIA","3","0","0","7 MATADERO","8-98 4-98","","0","","","1999-01-19 00:00:00","Rebaño de la Finca"
"2837","1992-06-09 00:00:00","MANTEQUILLA","VACA PREÑADA","2","0","0","7 MATADERO","8-98 4-98","1999-05-02 00:00:00","0","1998-08-05 00:00:00","","1997-05-26 00:00:00","Rebaño de la Finca"
"2844","1992-06-09 00:00:00","COMODIN","VACA PREÑADA","3","0","0","7 MATADERO","8-98 4-98","1999-04-02 00:00:00","0","1998-07-06 00:00:00","","1998-05-18 00:00:00","Rebaño de la Finca"
"2845","1992-06-09 00:00:00","DOS CAMINOS","VACA PREÑADA","3","0","0","7 MATADERO","8-98 4-98","1999-07-31 00:00:00","0","1998-11-03 00:00:00","","1998-07-15 00:00:00","Rebaño de la Finca"
"2852","1992-06-12 00:00:00","CARAOTA","VACA VACIA","2","3","0","7 MATADERO","3-98 4-98","","0","","","1998-10-28 00:00:00","Rebaño de la Finca"
"2861","1992-06-09 00:00:00","COCA COLA","VACA PREÑADA","4","0","0","7 MATADERO","8-98 4-98","1999-04-17 00:00:00","0","1998-07-21 00:00:00","","1998-07-28 00:00:00","Rebaño de la Finca"
"2862","1992-06-09 00:00:00","ISABEL","VACA VACIA","2","0","0","7 MATADERO","8-98 4-98","","0","","","1997-08-10 00:00:00","Rebaño de la Finca"
"2869","1992-06-12 00:00:00","AZABACHE","VACA VACIA","3","0","0","7 MATADERO","8-98 4-98","","0","","","1998-11-24 00:00:00","Rebaño de la Finca"
"2871","1992-06-09 00:00:00","MARACUCHA","VACA VACIA","4","0","0","7 MATADERO","8-98 4-98","","0","","","1998-07-02 00:00:00","Rebaño de la Finca"
"3801","1993-06-12 00:00:00","NEGRA ESCLAVA","VACA VACIA","4","0","0","7 MATADERO","8-98 4-98","","0","","","1999-01-04 00:00:00","Rebaño de la Finca"
"3808","1993-06-12 00:00:00","BANDERA","VACA VACIA","4","0","0","7 MATADERO","8-98 4-98","","0","","","1998-11-10 00:00:00","Rebaño de la Finca"
"3813","1993-06-12 00:00:00","NEGRA MATEA","VACA VACIA","4","0","0","7 MATADERO","8-98 4-98","","0","","","1998-11-27 00:00:00","Rebaño de la Finca"
"3815","1993-04-09 00:00:00","BOTIJON","VACA VACIA","4","0","0","7 MATADERO","8-98 4-98","","0","","","1999-04-17 00:00:00","Rebaño de la Finca"
"3816","1993-06-09 00:00:00","MOROCOTA","VACA VACIA","4","0","0","7 MATADERO","8-98 4-98","","0","","","1999-04-04 00:00:00","Rebaño de la Finca"
"3828","1993-06-09 00:00:00","GOLONDRINA","VACA VACIA","4","0","0","7 MATADERO","8-98 4-98","","0","","","1998-09-22 00:00:00","Rebaño de la Finca"
"3837","1993-06-09 00:00:00","ARAUCANA","VACA PROD.VACIA","4","0","0","7 MATADERO","8-98 4-98","","0","","","1998-11-12 00:00:00","Rebaño de la Finca"
"3854","1993-10-31 00:00:00","","VACA PREÑADA","1","1","0","7 MATADERO","8-98 4-98","2001-03-06 00:00:00","0","2000-06-04 00:00:00","","1998-03-07 00:00:00","Rebaño de la Finca"
"3855","1993-11-24 00:00:00","","VACA PROD.VACIA","1","0","0","7 MATADERO","","","0","","","1996-11-12 00:00:00","Rebaño de la Finca"
"3856","1993-11-27 00:00:00","","VACA PREÑADA","0","0","0","7 MATADERO","8-98","1995-09-03 00:00:00","0","1994-12-07 00:00:00","","","Rebaño de la Finca"
"3861","1993-12-12 00:00:00","CARA SUCIA","VACA PREÑADA","1","0","0","7 MATADERO","8-98 4-98","1999-05-02 00:00:00","0","1998-08-05 00:00:00","","1996-06-20 00:00:00","Rebaño de la Finca"
"3865","1993-12-30 00:00:00","GUANOTA","VACA VACIA","3","0","0","7 MATADERO","8-98 4-98","","0","","","1998-04-18 00:00:00","Rebaño de la Finca"
"4801","1994-01-01 00:00:00","DIBUJO","VACA PROD.VACIA","2","0","0","8 VENTA","8-98 4-98","","0","","","1998-05-18 00:00:00","Rebaño de la Finca"
"4810","1994-02-01 00:00:00","MARTA","VACA PREÑADA","2","0","0","7 MATADERO","8-98 4-98","1999-05-02 00:00:00","0","1998-08-05 00:00:00","","1998-04-16 00:00:00","Rebaño de la Finca"
"4811","1994-02-04 00:00:00","BARBARITA","VACA VACIA","4","0","0","8 VENTA","8-98 4-98","","0","","","1999-03-02 00:00:00","Rebaño de la Finca"
"4813","1994-02-06 00:00:00","MEREY","VACA VACIA","2","0","0","7 MATADERO","8-98 4-98","","0","","","1998-08-05 00:00:00","Rebaño de la Finca"
"4814","1994-02-06 00:00:00","LA SIMPSON","VACA VACIA","3","0","0","7 MATADERO","8-98 4-98","","0","","","1998-08-05 00:00:00","Rebaño de la Finca"
"4815","1994-02-06 00:00:00","NUBE LLENA","VACA VACIA","2","0","0","7 MATADERO","8-98 4-98","","0","","","1998-07-31 00:00:00","Rebaño de la Finca"
"4816","1994-02-10 00:00:00","","VACA VACIA","0","0","0","7 MATADERO","8-98 4-98","","0","","","","Rebaño de la Finca"
"4819","1994-03-10 00:00:00","ARBOLITO","VACA VACIA","3","0","0","7 MATADERO","8-98 4-98","","0","","","1999-03-28 00:00:00","Rebaño de la Finca"
"4830","1994-04-26 00:00:00","RETRATO","VACA PROD.VACIA","2","0","0","7 MATADERO","8-98 4-98","1998-10-21 00:00:00","0","1998-01-09 00:00:00","","1997-10-23 00:00:00","Rebaño de la Finca"
"4832","1994-04-29 00:00:00","CONSENTIDA","VACA VACIA","2","1","0","7 MATADERO","8-98 4-98","","0","","","1998-08-05 00:00:00","Rebaño de la Finca"
"4835","1994-05-23 00:00:00","TOPOCHO","VACA PREÑADA","2","0","0","7 MATADERO","8-98 4-98","1999-05-02 00:00:00","0","1998-08-05 00:00:00","","1998-07-28 00:00:00","Rebaño de la Finca"
"4836","1994-05-24 00:00:00","PROPAGANDA","VACA PROD.VACIA","2","0","0","7 MATADERO","8-98 4-98","","0","","","1998-11-10 00:00:00","Rebaño de la Finca"
"4837","1994-05-28 00:00:00","FORASTERA","VACA VACIA","2","0","0","7 MATADERO","8-98 4-98","","0","","","1998-08-05 00:00:00","Rebaño de la Finca"
"4839","1994-06-14 00:00:00","PENSATIVA","VACA PROD.VACIA","1","0","0","7 MATADERO","8-98 4-98","","0","","","1997-11-21 00:00:00","Rebaño de la Finca"
"4840","1994-06-22 00:00:00","CURAZAO","VACA VACIA","2","0","0","8 VENTA","8-98 4-98","","0","","","1998-08-05 00:00:00","Rebaño de la Finca"
"4842","1994-07-05 00:00:00","LA NIÑA","VACA VACIA","2","0","0","8 VENTA","8-98 4-98","","0","","","1998-07-31 00:00:00","Rebaño de la Finca"
"4846","1994-07-22 00:00:00","MARUANTA","VACA PREÑADA","1","0","0","7 MATADERO","8-98 4-98","1999-04-02 00:00:00","0","1998-07-06 00:00:00","","1997-05-17 00:00:00","Rebaño de la Finca"
"4851","1994-08-26 00:00:00","CAMBURITO","VACA PROD.VACIA","1","0","0","10 BRAHMAN","8-98 4-98","","0","","","1998-08-18 00:00:00","Rebaño de la Finca"
"4852","1994-09-30 00:00:00","MARBELIS","VACA PREÑADA","1","0","0","7 MATADERO","8-98 4-98","1999-03-03 00:00:00","0","1998-06-06 00:00:00","","1997-12-23 00:00:00","Rebaño de la Finca"
"4853","1994-10-03 00:00:00","HUMITO","VACA PREÑADA","2","0","0","8 VENTA","8-98 4-98","1999-05-02 00:00:00","0","1998-08-05 00:00:00","","1998-08-05 00:00:00","Rebaño de la Finca"
"4859","1994-11-06 00:00:00","","VACA PROD.VACIA","1","0","0","7 MATADERO","8-98 4-98","","0","","","1997-12-21 00:00:00","Rebaño de la Finca"
"4863","1994-11-17 00:00:00","PERRO DE AGUA","VACA VACIA","2","0","0","7 MATADERO","8-98 4-98","","0","","","1999-03-07 00:00:00","Rebaño de la Finca"
"4864","1994-11-17 00:00:00","PAN DE LECHE","VACA PROD.VACIA","2","0","0","7 MATADERO","8-98 4-98","","0","","","1998-11-12 00:00:00","Rebaño de la Finca"
