"SERIE","SEXO","PESDES","PESO","DIFDIA","DIFPES","PESOI","PA1","PA2","PA3","PA4","C1","C2","C3","C4","VR1","VR2","VR3","VR4","GDP","RAZA","LOTE","TIPO","FNAC"
"95230","-","0","470","","","328","0","423","0","0","0","3","0","0","0","102.887164643787","0","0","1.05","MESTIZO BRAHMAN","13 MA","MAUTE","1995-04-15 00:00:00"
"95236","-","0","476","","","338","0","468","0","0","0","2","0","0","0","113.832607690998","0","0","0.419","MESTIZO BRAHMAN","14 MA","MAUTE","1995-04-15 00:00:00"
"95239","-","0","430","","","264","0","366","0","0","0","4","0","0","0","89.0229367839856","0","0","1.45","MESTIZO BRAHMAN","14 MA","MAUTE","1995-04-15 00:00:00"
"95241","-","0","410","","","250","0","362","0","0","0","4","0","0","0","88.0500085131224","0","0","1.05","MESTIZO BRAHMAN","14 MA","MAUTE","1995-04-15 00:00:00"
"95242","-","0","482","","","292","0","472","0","0","0","2","0","0","0","114.805535961861","0","0","0.837","MESTIZO BRAHMAN","13 MA","MAUTE","1995-04-15 00:00:00"
"95246","-","0","400","","","234","0","346","0","0","0","5","0","0","0","84.1582954296695","0","0","1.2","MESTIZO BRAHMAN","14 MA","MAUTE","1995-04-15 00:00:00"
"95247","-","0","492","","","310","0","482","0","0","0","2","0","0","0","117.237856639019","0","0","0.977","MESTIZO BRAHMAN","13 MA","MAUTE","1995-04-15 00:00:00"
"95248","-","0","464","","","322","0","456","0","0","0","2","0","0","0","110.913822878408","0","0","0.419","MESTIZO BRAHMAN","13 MA","MAUTE","1995-04-15 00:00:00"
"95249","-","0","468","","","286","0","413","0","0","0","3","0","0","0","100.454843966629","0","0","1.2","MESTIZO BRAHMAN","13 MA","MAUTE","1995-04-15 00:00:00"
"95251","-","0","480","","","305","0","334","0","0","0","5","0","0","0","81.2395106170798","0","0","3.6","MESTIZO BRAHMAN","13 MA","MAUTE","1995-04-15 00:00:00"
"95253","-","0","454","","","300","0","446","0","0","0","2","0","0","0","108.48150220125","0","0","0.326","MESTIZO BRAHMAN","13 MA","MAUTE","1995-04-15 00:00:00"
"95254","-","0","454","","","388","0","0","0","0","0","0","0","0","0","0","0","0","1.5","MESTIZO BRAHMAN","13 MA","MAUTE","1995-04-15 00:00:00"
"95255","-","0","492","","","242","0","420","0","0","0","3","0","0","0","102.157468440639","0","0","1.55","MESTIZO BRAHMAN","13 MA","MAUTE","1995-04-15 00:00:00"
"95256","-","0","490","","","324","0","436","0","0","0","3","0","0","0","106.049181524092","0","0","1.2","MESTIZO BRAHMAN","13 MA","MAUTE","1995-04-15 00:00:00"
"95259","-","0","422","","","308","0","370","0","0","0","4","0","0","0","89.9958650548488","0","0","1.2","MESTIZO BRAHMAN","14 MA","MAUTE","1995-04-15 00:00:00"
"95260","-","0","470","","","314","0","469","0","0","0","2","0","0","0","114.075839758714","0","0","-0.2","MESTIZO BRAHMAN","13 MA","MAUTE","1995-04-15 00:00:00"
"95261","-","0","460","","","290","0","413","0","0","0","3","0","0","0","100.454843966629","0","0","1","MESTIZO BRAHMAN","13 MA","MAUTE","1995-04-15 00:00:00"
"95265","-","0","460","","","302","0","402","0","0","0","3","0","0","0","97.7792912217547","0","0","1.3","MESTIZO BRAHMAN","13 MA","MAUTE","1995-04-15 00:00:00"
"95266","-","0","364","","","210","0","329","0","0","0","5","0","0","0","80.0233502785007","0","0","0.7","MESTIZO BRAHMAN","14 MA","MAUTE","1995-04-15 00:00:00"
"95267","-","0","414","","","264","0","332","0","0","0","5","0","0","0","80.7530464816481","0","0","1.95","MESTIZO BRAHMAN","14 MA","MAUTE","1995-04-15 00:00:00"
"95270","-","0","490","","","304","0","427","0","0","0","3","0","0","0","103.86009291465","0","0","1.4","MESTIZO BRAHMAN","13 MA","MAUTE","1995-04-15 00:00:00"
"95274","-","0","456","","","288","0","413","0","0","0","3","0","0","0","100.454843966629","0","0","0.9","MESTIZO BRAHMAN","13 MA","MAUTE","1995-04-15 00:00:00"
"95279","-","0","450","","","294","0","413","0","0","0","3","0","0","0","100.454843966629","0","0","0.75","MESTIZO BRAHMAN","13 MA","MAUTE","1995-04-15 00:00:00"
"95280","-","0","440","","","282","0","386","0","0","0","4","0","0","0","93.8875781383017","0","0","1.2","MESTIZO BRAHMAN","14 MA","MAUTE","1995-04-15 00:00:00"
"95282","-","0","358","","","210","0","316","0","0","0","5","0","0","0","76.8613333981952","0","0","0.9","MESTIZO BRAHMAN","14 MA","MAUTE","1995-04-15 00:00:00"
"95286","-","0","494","","","310","0","433","0","0","0","3","0","0","0","105.319485320945","0","0","1.35","MESTIZO BRAHMAN","13 MA","MAUTE","1995-04-15 00:00:00"
"95287","-","0","430","","","260","0","373","0","0","0","4","0","0","0","90.7255612579963","0","0","1.25","MESTIZO BRAHMAN","14 MA","MAUTE","1995-04-15 00:00:00"
"D6010","-","0","498","","","498","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1995-01-05 00:00:00"
"D8003","-","0","484","","","344","437","0","0","0","3","0","0","0","90.6018700889433","0","0","0","2","MESTIZO BRAHMAN","7 MAT","MAUTE","1995-01-01 00:00:00"
"D8004","-","0","496","","","370","0","0","0","0","0","0","0","0","0","0","0","0","1.119","MESTIZO BRAHMAN","5 MAU","MAUTE","1995-01-09 00:00:00"
"D8005","-","0","472","","","386","0","0","0","0","0","0","0","0","0","0","0","0","0.324","MESTIZO BRAHMAN","7 MAT","MAUTE","1995-01-10 00:00:00"
"D8006","-","0","440","","","410","0","0","0","0","0","0","0","0","0","0","0","0","0.469","MESTIZO BRAHMAN","7 MAT","MAUTE","1995-01-10 00:00:00"
"D8008","-","0","466","","","394","0","0","0","0","0","0","0","0","0","0","0","0","0.162","MESTIZO BRAHMAN","7 MAT","MAUTE","1995-01-13 00:00:00"
"D8009","-","0","436","","","406","0","0","0","0","0","0","0","0","0","0","0","0","0.469","MESTIZO BRAHMAN","7 MAT","MAUTE","1995-01-15 00:00:00"
"D8013","-","0","474","","","386","0","0","0","0","0","0","0","0","0","0","0","0","0.378","MESTIZO BRAHMAN","7 MAT","MAUTE","1995-01-17 00:00:00"
"D8014","-","0","534","","","416","0","0","0","0","0","0","0","0","0","0","0","0","0.341","MESTIZO BRAHMAN","7 MAT","MAUTE","1995-01-25 00:00:00"
"D8015","-","0","500","","","500","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","7 MAT","MAUTE","1995-01-25 00:00:00"
"D8016","-","0","414","","","390","0","0","0","0","0","0","0","0","0","0","0","0","0.375","MESTIZO BRAHMAN","7 MAT","MAUTE","1995-01-30 00:00:00"
"D8019","-","0","456","","","414","0","0","0","0","0","0","0","0","0","0","0","0","0.656","MESTIZO BRAHMAN","7 MAT","MAUTE","1995-02-09 00:00:00"
"D8020","-","0","400","","","400","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","7 MAT","MAUTE","1995-02-09 00:00:00"
"D8023","-","0","520","","","344","443","0","0","0","3","0","0","0","91.8458316919951","0","0","0","1.186","MESTIZO BRAHMAN","5 MAU","MAUTE","1995-02-13 00:00:00"
"D8024","-","0","524","","","380","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","7 MAT","MAUTE","1995-02-09 00:00:00"
"D8025","-","0","430","","","388","0","0","0","0","0","0","0","0","0","0","0","0","0.656","MESTIZO BRAHMAN","7 MAT","MAUTE","1995-02-22 00:00:00"
"D8026","-","0","518","","","390","0","0","0","0","0","0","0","0","0","0","0","0","1.186","MESTIZO BRAHMAN","5 MAU","MAUTE","1995-02-14 00:00:00"
"D8027","-","0","500","","","360","0","0","0","0","0","0","0","0","0","0","0","0","0.703","MESTIZO BRAHMAN","7 MAT","MAUTE","1995-02-23 00:00:00"
"D8028","-","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1995-02-25 00:00:00"
"D8030","-","0","514","","","378","0","0","0","0","0","0","0","0","0","0","0","0","1.085","MESTIZO BRAHMAN","5 MAU","MAUTE","1995-02-28 00:00:00"
"D8033","-","0","564","","","412","0","0","0","0","0","0","0","0","0","0","0","0","0.829","MESTIZO BRAHMAN","7 MAT","MAUTE","1995-03-06 00:00:00"
"D8036","-","0","382","","","382","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-04-02 00:00:00"
"D8037","-","0","520","","","340","448","0","0","0","2","0","0","0","92.882466361205","0","0","0","1.085","MESTIZO BRAHMAN","5 MAU","MAUTE","1995-03-22 00:00:00"
"D8039","-","0","530","","","360","472","0","0","0","2","0","0","0","97.8583127734124","0","0","0","0","MESTIZO BRAHMAN","7 MAT","MAUTE","1995-03-24 00:00:00"
"D8041","-","0","474","","","348","0","0","0","0","0","0","0","0","0","0","0","0","0.746","MESTIZO BRAHMAN","5 MAU","MAUTE","1995-03-26 00:00:00"
"D8043","-","0","546","","","350","456","0","0","0","2","0","0","0","94.5410818319408","0","0","0","1.39","MESTIZO BRAHMAN","5 MAU","MAUTE","1995-04-04 00:00:00"
"D8045","-","0","502","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0.712","MESTIZO BRAHMAN","5 MAU","MAUTE","1995-04-16 00:00:00"
"D8047","-","0","460","","","420","0","0","0","0","0","0","0","0","0","0","0","0","0.625","MESTIZO BRAHMAN","7 MAT","MAUTE","1995-04-18 00:00:00"
"D8049","-","0","518","","","350","0","0","0","0","0","0","0","0","0","0","0","0","1.153","MESTIZO BRAHMAN","5 MAU","MAUTE","1995-04-28 00:00:00"
"D8050","-","0","472","","","370","470","0","0","0","2","0","0","0","97.4436589057284","0","0","0","0.44","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-04-28 00:00:00"
"D8052","-","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1995-05-02 00:00:00"
"D8054","-","0","398","","","398","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-05-06 00:00:00"
"D8061","-","0","310","","","310","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-05-20 00:00:00"
"D8062","-","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1995-05-26 00:00:00"
"D8063","-","0","472","","","340","0","0","0","0","0","0","0","0","0","0","0","0","1.085","MESTIZO BRAHMAN","5 MAU","MAUTE","1995-05-27 00:00:00"
"D8065","-","0","456","","","340","0","0","0","0","0","0","0","0","0","0","0","0","0.712","MESTIZO BRAHMAN","5 MAU","MAUTE","1995-05-29 00:00:00"
"D8066","-","0","364","","","364","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-05-29 00:00:00"
"D8067","-","0","480","","","0","0","0","0","0","0","0","0","0","0","0","0","0","1.085","MESTIZO BRAHMAN","5 MAU","MAUTE","1995-06-02 00:00:00"
"D8069","-","0","376","","","376","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-06-08 00:00:00"
"D8074","-","0","360","","","360","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-06-14 00:00:00"
"D8078","-","0","514","","","382","0","0","0","0","0","0","0","0","0","0","0","0","1.153","MESTIZO BRAHMAN","5 MAU","MAUTE","1995-06-22 00:00:00"
"D8079","-","0","374","","","374","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-06-22 00:00:00"
"D8080","-","0","480","","","340","0","0","0","0","0","0","0","0","0","0","0","0","1.119","MESTIZO BRAHMAN","5 MAU","MAUTE","1995-06-25 00:00:00"
"D8081","-","0","536","","","368","478","0","0","0","2","0","0","0","99.1022743764643","0","0","0","0.847","MESTIZO BRAHMAN","5 MAU","MAUTE","1995-06-28 00:00:00"
"D8085","-","0","498","","","340","0","0","0","0","0","0","0","0","0","0","0","0","1.22","MESTIZO BRAHMAN","5 MAU","MAUTE","1995-06-30 00:00:00"
"D8090","-","0","498","","","346","0","0","0","0","0","0","0","0","0","0","0","0","1.153","MESTIZO BRAHMAN","5 MAU","MAUTE","1995-07-16 00:00:00"
"D8091","-","0","372","","","372","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-07-18 00:00:00"
"D8092","-","0","510","","","364","0","0","0","0","0","0","0","0","0","0","0","0","1.254","MESTIZO BRAHMAN","5 MAU","MAUTE","1995-07-18 00:00:00"
"D8093","-","0","462","","","462","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-07-20 00:00:00"
"D8094","-","0","336","","","336","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-07-23 00:00:00"
"D8098","-","0","490","","","350","0","0","0","0","0","0","0","0","0","0","0","0","1.186","MESTIZO BRAHMAN","5 MAU","MAUTE","1995-09-06 00:00:00"
"D8102","-","0","364","","","364","0","0","0","0","0","0","0","0","0","0","0","0","1.186","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-09-13 00:00:00"
"D8105","-","0","406","","","406","0","0","0","0","0","0","0","0","0","0","0","0","1.186","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-09-08 00:00:00"
"D8106","-","0","366","","","188","0","0","0","0","0","0","0","0","0","0","0","0","0.377","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-09-20 00:00:00"
"D8111","-","0","336","","","144","0","0","0","0","0","0","0","0","0","0","0","0","0.407","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-09-22 00:00:00"
"D8114","-","0","398","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0.539","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-09-25 00:00:00"
"D8115","-","0","152","","","152","0","0","0","0","0","0","0","0","0","0","0","0","0.539","MESTIZO BRAHMAN","5 MAU","MAUTE","1995-09-06 00:00:00"
"D8116","-","0","354","","","170","0","0","0","0","0","0","0","0","0","0","0","0","0.39","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-09-26 00:00:00"
"D8117","-","0","362","","","230","0","0","0","0","0","0","0","0","0","0","0","0","0.28","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-09-27 00:00:00"
"D8122","-","0","370","","","170","0","0","0","0","0","0","0","0","0","0","0","0","0.424","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-10-03 00:00:00"
"D8123","-","0","346","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0.474","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-10-03 00:00:00"
"D8124","-","0","374","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0.513","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-10-04 00:00:00"
"D8127","-","0","392","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0.54","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-10-07 00:00:00"
"D8129","-","0","384","","","198","0","0","0","0","0","0","0","0","0","0","0","0","0.394","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-10-08 00:00:00"
"D8134","-","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1995-10-26 00:00:00"
"D8135","-","0","320","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0.453","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-10-26 00:00:00"
"D8136","-","0","394","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0.557","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-10-26 00:00:00"
"D8137","-","0","330","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0.469","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-10-29 00:00:00"
"D8138","-","0","386","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0.548","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-10-29 00:00:00"
"D8139","-","0","362","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0.515","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-10-30 00:00:00"
"D8140","-","0","364","","","364","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-10-30 00:00:00"
"D8143","-","0","488","","","348","0","0","0","0","0","0","0","0","0","0","0","0","0.915","MESTIZO BRAHMAN","5 MAU","MAUTE","1995-11-12 00:00:00"
"D8144","-","0","426","","","426","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-11-14 00:00:00"
"D8147","-","0","378","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0.554","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-11-20 00:00:00"
"D8149","-","0","360","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0.536","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-11-30 00:00:00"
"D8152","-","0","340","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0.519","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-12-17 00:00:00"
"D8154","-","0","330","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0.505","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-12-19 00:00:00"
"D8157","-","0","360","","","360","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","9 TUY","MAUTE","1995-12-24 00:00:00"
"E8003","-","0","352","","","210","0","351","0","0","0","4","0","0","0","85.3744557682485","0","0","0.387","MESTIZO BRAHMAN","9 TUY","MAUTE","1996-01-02 00:00:00"
"E8007","-","0","344","","","198","0","343","0","0","0","5","0","0","0","83.428599226522","0","0","0.398","MESTIZO BRAHMAN","9 TUY","MAUTE","1996-01-04 00:00:00"
"E8009","-","0","340","","","198","0","339","0","0","0","5","0","0","0","82.4556709556588","0","0","0.387","MESTIZO BRAHMAN","9 TUY","MAUTE","1996-01-05 00:00:00"
"E8011","-","0","300","","","200","0","299","0","0","0","5","0","0","0","72.7263882470265","0","0","0.272","MESTIZO BRAHMAN","9 TUY","MAUTE","1996-01-08 00:00:00"
"E8014","-","0","306","","","168","0","305","0","0","0","5","0","0","0","74.1857806533213","0","0","0.376","MESTIZO BRAHMAN","9 TUY","MAUTE","1996-01-10 00:00:00"
"E8021","-","0","314","","","180","0","313","0","0","0","5","0","0","0","76.1316371950478","0","0","0.365","MESTIZO BRAHMAN","9 TUY","MAUTE","1996-01-25 00:00:00"
"E8022","-","0","364","","","230","0","0","0","0","0","0","0","0","0","0","0","0","0.417","MESTIZO BRAHMAN","9 TUY","MAUTE","1996-01-26 00:00:00"
"E8027","-","0","342","","","212","0","0","329","0","0","0","1","0","0","0","100","0","0.217","MESTIZO BRAHMAN","9 TUY","MAUTE","1996-02-12 00:00:00"
"E8030","-","0","216","","","210","0","0","0","0","0","0","0","0","0","0","0","0","-0.859","MESTIZO BRAHMAN","9 TUY","MAUTE","1996-02-16 00:00:00"
"E8031","-","0","284","","","180","0","0","0","0","0","0","0","0","0","0","0","0","0.324","MESTIZO BRAHMAN","9 TUY","MAUTE","1996-02-24 00:00:00"
"E8036","-","0","286","","","200","0","0","0","0","0","0","0","0","0","0","0","0","0.268","MESTIZO BRAHMAN","9 TUY","MAUTE","1996-02-27 00:00:00"
"E8038","-","0","340","","","193","0","0","0","0","0","0","0","0","0","0","0","0","0.458","MESTIZO BRAHMAN","9 TUY","MAUTE","1996-03-11 00:00:00"
"E8039","-","0","298","","","188","0","0","0","0","0","0","0","0","0","0","0","0","0.343","MESTIZO BRAHMAN","9 TUY","MAUTE","1996-03-11 00:00:00"
"E8040","-","0","178","","","178","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1996-03-16 00:00:00"
"E8041","-","0","140","","","140","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1996-03-16 00:00:00"
"E8042","-","0","324","","","200","0","0","0","0","0","0","0","0","0","0","0","0","0.386","MESTIZO BRAHMAN","9 TUY","MAUTE","1996-03-16 00:00:00"
"E8044","-","0","304","","","200","0","0","0","0","0","0","0","0","0","0","0","0","0.371","MESTIZO BRAHMAN","9 TUY","MAUTE","1996-04-01 00:00:00"
"E8047","-","0","340","","","218","0","0","0","0","0","0","0","0","0","0","0","0","0.436","MESTIZO BRAHMAN","9 TUY","MAUTE","1996-04-10 00:00:00"
"E8051","-","0","174","","","174","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1996-04-17 00:00:00"
"E8054","-","0","300","","","168","0","0","0","0","0","0","0","0","0","0","0","0","0.471","MESTIZO BRAHMAN","9 TUY","MAUTE","1996-04-30 00:00:00"
"E8055","-","0","290","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0.56","MESTIZO BRAHMAN","9 TUY","MAUTE","1996-05-02 00:00:00"
"E8056","-","0","160","","","160","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1996-05-04 00:00:00"
"E8057","-","0","158","","","158","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1996-05-08 00:00:00"
"E8058","-","0","134","","","134","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1996-05-12 00:00:00"
"E8059","-","0","150","","","150","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1996-05-13 00:00:00"
"E8061","-","0","168","","","168","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1996-06-15 00:00:00"
"E8062","-","0","284","","","150","0","0","0","0","0","0","0","0","0","0","0","0","0.504","MESTIZO BRAHMAN","9 TUY","MAUTE","1996-05-16 00:00:00"
"E8066","-","0","154","","","154","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1996-05-21 00:00:00"
"E8068","-","0","280","","","136","0","0","0","0","0","0","0","0","0","0","0","0","0.541","MESTIZO BRAHMAN","9 TUY","MAUTE","1996-05-28 00:00:00"
"E8069","-","0","170","","","170","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1996-06-01 00:00:00"
"E8070","-","0","276","","","150","263","0","0","0","5","0","0","0","54.5269836004395","0","0","0","0.55","MESTIZO BRAHMAN","9 TUY","MAUTE","1996-06-05 00:00:00"
"E8074","-","0","188","","","188","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1996-06-13 00:00:00"
"E8079","-","0","280","","","184","270","0","0","0","5","0","0","0","55.9782721373334","0","0","0","0.419","MESTIZO BRAHMAN","9 TUY","MAUTE","1996-06-20 00:00:00"
"E8082","-","0","160","","","160","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1996-06-23 00:00:00"
"E8083","-","0","150","","","150","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1996-06-24 00:00:00"
"E8088","-","0","210","","","210","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1996-07-27 00:00:00"
"E8090","-","0","224","","","224","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1996-07-30 00:00:00"
"E8093","-","0","220","","","220","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1996-08-06 00:00:00"
"E8099","-","0","210","","","210","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1996-08-21 00:00:00"
"E8100","-","0","206","","","206","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1996-08-23 00:00:00"
"E8106","-","0","180","","","180","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1996-09-03 00:00:00"
"E8108","-","0","170","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0.691","MESTIZO BRAHMAN","5 MAU","MAUTE","1996-09-12 00:00:00"
"E8112","-","0","230","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1996-09-24 00:00:00"
"E8126","-","","176","","","176","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1996-10-13 00:00:00"
"E8140","-","","152","","","152","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1996-11-12 00:00:00"
"E8156","-","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1996-12-03 00:00:00"
"E8157","-","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1996-12-03 00:00:00"
"E8164","-","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1996-12-14 00:00:00"
"E8171","-","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1996-12-22 00:00:00"
"F8136","-","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","MESTIZO BRAHMAN","5 MAU","MAUTE","1997-11-02 00:00:00"
