"SERIE","LOTE","FINIM","TIEMP","FFINM","TIPOE","TIPOS","CODE","CODS"
"88","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"89","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"895","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"9206","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"9514","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"9546","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"9557","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"9586","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"96148","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"96150","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"96169","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"96246","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"AAA1","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"D0118","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"D0141","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"D0159","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"D0173","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"D6014","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"D6028","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"D8001","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"D8002","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"D8042","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"D8044","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"D8046","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"D8048","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"D8053","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"D8057","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"D8068","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"D8070","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"D8072","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"D8075","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"D8076","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"D8077","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"D8082","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"D8084","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"D8086","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"D8087","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"D8088","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"D8096","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"D80990","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"D8101","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"D8103","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"D8109","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"D8110","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"D8112","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"D8113","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"D8126","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"D8128","c-21tal","2001-01-01 00:00:00","","2018-02-01 00:00:00","VACA VACIA","","11",""
"D8130","c-21tal","2001-01-01 00:00:00","","2018-02-01 00:00:00","VACA VACIA","","11",""
"D8131","c-21tal","2001-01-01 00:00:00","","2018-02-01 00:00:00","VACA PROD.VACIA","","12",""
"D8132","c-21tal","2001-01-01 00:00:00","","2018-02-01 00:00:00","VACA PROD.VACIA","","12",""
"D8133","c-21tal","2001-01-01 00:00:00","","2018-02-01 00:00:00","VACA PROD.VACIA","","12",""
"D8141","c-21tal","2001-01-01 00:00:00","","2018-02-01 00:00:00","VACA PROD.VACIA","","12",""
"D8145","c-21tal","2001-01-01 00:00:00","","2018-02-01 00:00:00","VACA PROD.VACIA","","12",""
"D8146","c-21tal","2001-01-01 00:00:00","","2018-02-01 00:00:00","VACA PROD.VACIA","","12",""
"D8148","c-21tal","2001-01-01 00:00:00","","2018-02-01 00:00:00","VACA PROD.VACIA","","12",""
"D8150","c-21tal","2001-01-01 00:00:00","","2018-02-01 00:00:00","VACA VACIA","","11",""
"D8153","c-21tal","2001-01-01 00:00:00","","2018-02-01 00:00:00","VACA VACIA","","11",""
"E8004","c-21tal","2001-01-01 00:00:00","","2018-02-01 00:00:00","VACA VACIA","","11",""
"E8019","c-21tal","2001-01-01 00:00:00","","2018-02-01 00:00:00","VACA VACIA","","11",""
"E8037","c-21tal","2001-01-01 00:00:00","","2018-02-01 00:00:00","VACA PROD.VACIA","","12",""
"  S-38","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","TORO PADROTE","","09",""
"205","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","TORO PADROTE","","09",""
"30344","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","TORO PADROTE","","09",""
"325","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","TORO PADROTE","","09",""
"481","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","TORO PADROTE","","09",""
"653","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","TORO PADROTE","","09",""
"667","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","TORO PADROTE","","09",""
"93627M","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","TORO PADROTE","","09",""
"V126","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","TORO PADROTE","","09",""
"114","LOTE 1","1999-01-01 00:00:00","","","VACA VACIA","VACA PREÑADA","11","14"
"1512","LOTE 1","1999-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"1557","LOTE 1","1999-01-01 00:00:00","","","VACA VACIA","VACA PREÑADA","11","14"
"   211","LOTE 1","1999-01-01 00:00:00","","","VACA PROD.VACIA","","12",""
"  S-38","LOTE 1","1999-01-01 00:00:00","","2001-01-01 00:00:00","TORO PADROTE","","09",""
"     9","LOTE 1","1999-01-01 00:00:00","","","VACA PROD.VACIA","","12",""
"   609","LOTE 1","1999-01-01 00:00:00","","","VACA PROD.VACIA","","12",""
"   621","LOTE 1","1999-01-01 00:00:00","","2001-01-01 00:00:00","VACA PROD.VACIA","","12",""
"   668","LOTE 1","1999-01-01 00:00:00","","2001-01-01 00:00:00","VACA PROD.VACIA","","12",""
"   684","LOTE 1","1999-01-01 00:00:00","","2014-03-01 00:00:00","VACA PROD.VACIA","","12",""
"   702","LOTE 1","1999-01-01 00:00:00","","2011-09-10 00:00:00","VACA PROD.VACIA","","12",""
"   710","LOTE 1","1999-01-01 00:00:00","","","VACA PROD.VACIA","","12",""
"   722","LOTE 1","1999-01-01 00:00:00","","","VACA PROD.VACIA","","12",""
"   731","LOTE 1","1999-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"   735","LOTE 1","1999-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"   747","LOTE 1","1999-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"   749","LOTE 1","1999-01-01 00:00:00","","","VACA PROD.VACIA","","12",""
"   787","LOTE 1","1999-01-01 00:00:00","","2014-03-01 00:00:00","VACA PROD.VACIA","","12",""
"   900","LOTE 1","1999-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"   956","LOTE 1","1999-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"   959","LOTE 1","1999-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"   963","LOTE 1","1999-01-01 00:00:00","","2018-05-01 00:00:00","VACA PROD.VACIA","","12",""
"004","LOTE 1","1999-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"009","LOTE 1","1999-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"012345678901","LOTE 1","1999-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"014","LOTE 1","1999-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","","11",""
"015G","LOTE 1","1999-01-01 00:00:00","","2015-05-01 00:00:00","VACA VACIA","","11",""
"015SA","LOTE 1","1999-01-01 00:00:00","","2015-05-01 00:00:00","VACA VACIA","","11",""
"   621","c-21tal","2001-01-01 00:00:00","","2011-09-10 00:00:00","VACA PROD.VACIA","","12",""
"6220","lote1","2009-05-01 00:00:00","","","VACA VACIA SIN CRIA","VACA PREÑADA","13","14"
"45200","lote1","2009-05-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA","VACA PREÑADA","11","14"
"205","lote1","2009-05-01 00:00:00","","2018-02-01 00:00:00","TORO PADROTE","","09",""
"29121","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"29122","c-21tal","2001-01-01 00:00:00","","2018-05-01 00:00:00","NOVILLA","","05",""
"4780","YOA","2018-05-01 00:00:00","","2018-08-01 00:00:00","VACA VACIA","VACA PREÑADA","11","14"
"4781","YOA","2018-05-01 00:00:00","","2018-08-01 00:00:00","VACA VACIA","VACA PREÑADA","11","14"
"4782","YOA","2018-05-01 00:00:00","","2018-08-01 00:00:00","VACA VACIA","","11",""
"4783","YOA","2018-05-01 00:00:00","","2018-08-01 00:00:00","VACA VACIA","","11",""
"4784","YOA","2018-05-01 00:00:00","","2018-08-01 00:00:00","VACA VACIA","","11",""
"4785","YOA","2018-05-01 00:00:00","","2018-08-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"4786","YOA","2018-05-01 00:00:00","","2018-08-01 00:00:00","VACA VACIA SIN CRIA","VACA PREÑADA","13","14"
"4787","YOA","2018-05-01 00:00:00","","2018-08-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"4788","YOA","2018-05-01 00:00:00","","2018-08-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"4890","YOA","2018-05-01 00:00:00","","2018-08-01 00:00:00","TORO PADROTE","","09",""
"4789","YOA","2018-05-01 00:00:00","","2018-08-01 00:00:00","TORO PADROTE","","09",""
"4891","YOAA","2018-03-01 00:00:00","","2018-06-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"4892","YOAA","2018-03-01 00:00:00","","2018-06-01 00:00:00","VACA VACIA SIN CRIA","VACA PREÑADA","13","14"
"4893B","YOAA","2018-03-01 00:00:00","","2018-06-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"4894","YOAA","2018-03-01 00:00:00","","2018-06-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"4895","YOAA","2018-03-01 00:00:00","","2018-06-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"4896","YOAA","2018-03-01 00:00:00","","2018-06-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"4897","YOAA","2018-03-01 00:00:00","","2018-06-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"4898","YOAA","2018-03-01 00:00:00","","2018-06-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"4898B","YOAA","2018-03-01 00:00:00","","2018-06-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"4900","YOAA","2018-03-01 00:00:00","","2018-06-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"4901","YOAA","2018-03-01 00:00:00","","2018-06-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"4899","YOAA","2018-03-01 00:00:00","","2018-06-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"4902","YOAA","2018-03-01 00:00:00","","2018-06-01 00:00:00","TORO PADROTE","","09",""
"4903","YOAA","2018-03-01 00:00:00","","2018-06-01 00:00:00","TORO PADROTE","","09",""
"5000","YOAV","2018-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"5001","YOAV","2018-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"5002","YOAV","2018-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"5004","YOAV","2018-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"5005","YOAV","2018-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"5006","YOAV","2018-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"5007","YOAV","2018-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"5008","YOAV","2018-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"5009","YOAV","2018-01-01 00:00:00","","2018-05-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"5100","YOAV","2018-01-01 00:00:00","","2018-05-01 00:00:00","TORO PADROTE","","09",""
"5101","YOAV","2018-01-01 00:00:00","","2018-05-01 00:00:00","TORO PADROTE","","09",""
"6000B","VICMA ","2018-06-01 00:00:00","","2018-08-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"6001","VICMA ","2018-06-01 00:00:00","","2018-08-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"6002","VICMA ","2018-06-01 00:00:00","","2018-08-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"6003","VICMA ","2018-06-01 00:00:00","","2018-08-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"6004B","VICMA ","2018-06-01 00:00:00","","2018-08-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"6005","VICMA ","2018-06-01 00:00:00","","2018-08-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"6006B","VICMA ","2018-06-01 00:00:00","","2018-08-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"6007","VICMA ","2018-06-01 00:00:00","","2018-08-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"6008","VICMA ","2018-06-01 00:00:00","","2018-08-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"6009","VICMA ","2018-06-01 00:00:00","","2018-08-01 00:00:00","VACA VACIA SIN CRIA","","13",""
"6010","VICMA ","2018-06-01 00:00:00","","2018-08-01 00:00:00","TORO PADROTE","","09",""
"6011","VICMA ","2018-06-01 00:00:00","","2018-08-01 00:00:00","TORO PADROTE","","09",""
