"SERIE","PESO","GDP","DIAS","PGAN","PPIE","MONTO","FECHA","DIFDIA"
"2857M","430","0","42","0","575","270900","1995-10-06 00:00:00","42"
"2852M","452","0","42","0","575","284760","1995-10-06 00:00:00","42"
"3814M","450","-1.667","42","-70","575","283500","1995-10-06 00:00:00","42"
"2859M","520","0","41","0","575","327600","1995-10-05 00:00:00","41"
"3829M","510","0","41","0","575","321300","1995-10-05 00:00:00","41"
"2832M","390","0","41","0","575","245700","1995-10-05 00:00:00","41"
"2847M","448","0","41","0","575","282240","1995-10-05 00:00:00","41"
"3826M","440","0","1","0","140","277200","1995-08-26 00:00:00","1"
"3825M","484","0","1","0","140","304920","1995-08-26 00:00:00","1"
"3853M","458","0","1","0","140","288540","1995-08-26 00:00:00","1"
"3817M","568","3.931","29","114","140","357840","1995-11-03 00:00:00","29"
"3818M","422","0","1","0","140","265860","1995-08-26 00:00:00","1"
"3818M","430","0.116","69","8","140","270900","1995-11-03 00:00:00","69"
"3820M","314","0","1","0","140","197820","1995-08-26 00:00:00","1"
"3820M","320","0.087","69","6","140","201600","1995-11-03 00:00:00","69"
"3821M","424","0","1","0","140","267120","1995-08-26 00:00:00","1"
"3821M","440","0.232","69","16","140","277200","1995-11-03 00:00:00","69"
"3823M","418","0","1","0","140","263340","1995-08-26 00:00:00","1"
"3823M","442","0.348","69","24","140","278460","1995-11-03 00:00:00","69"
"3826M","480","0.58","69","40","140","302400","1995-11-03 00:00:00","69"
"3825M","480","-0.058","69","-4","140","302400","1995-11-03 00:00:00","69"
"3827M","390","0","1","0","140","245700","1995-08-26 00:00:00","1"
"3827M","420","0.435","69","30","140","264600","1995-11-03 00:00:00","69"
"3831M","432","0","1","0","140","272160","1995-08-26 00:00:00","1"
"3831M","446","0.203","69","14","140","280980","1995-11-03 00:00:00","69"
"3834M","340","0","1","0","140","214200","1995-08-26 00:00:00","1"
"3834M","368","0.406","69","28","140","231840","1995-11-03 00:00:00","69"
"3835M","446","0","1","0","140","280980","1995-08-26 00:00:00","1"
"3835M","448","0.029","69","2","140","282240","1995-11-03 00:00:00","69"
"3836M","354","0","1","0","140","223020","1995-08-26 00:00:00","1"
"3836M","380","0.377","69","26","140","239400","1995-11-03 00:00:00","69"
"3838M","428","0","1","0","140","269640","1995-08-26 00:00:00","1"
"3838M","436","0.116","69","8","140","274680","1995-11-03 00:00:00","69"
"3839M","462","0","1","0","140","291060","1995-08-26 00:00:00","1"
"3839M","450","-0.174","69","-12","140","283500","1995-11-03 00:00:00","69"
"3842M","390","0","1","0","140","245700","1995-08-26 00:00:00","1"
"3842M","418","0.406","69","28","140","263340","1995-11-03 00:00:00","69"
"3843M","346","0","1","0","140","217980","1995-08-26 00:00:00","1"
"3843M","370","0.348","69","24","140","233100","1995-11-03 00:00:00","69"
"3845M","370","0","1","0","140","233100","1995-08-26 00:00:00","1"
"3845M","396","0.377","69","26","140","249480","1995-11-03 00:00:00","69"
"3847M","390","0","1","0","140","245700","1995-08-26 00:00:00","1"
"3847M","422","0.464","69","32","140","265860","1995-11-03 00:00:00","69"
"3848M","416","0","1","0","140","262080","1995-08-26 00:00:00","1"
"3848M","438","0.319","69","22","140","275940","1995-11-03 00:00:00","69"
"3849M","362","0","1","0","140","228060","1995-08-26 00:00:00","1"
"3849M","396","0.493","69","34","140","249480","1995-11-03 00:00:00","69"
"3850","410","29.333","3","88","140","258300","1995-08-26 00:00:00","3"
"3850","410","0","69","0","140","258300","1995-11-03 00:00:00","69"
"3851M","362","0","1","0","140","228060","1995-08-26 00:00:00","1"
"3851M","386","0.348","69","24","140","243180","1995-11-03 00:00:00","69"
"3852M","398","0","1","0","140","250740","1995-08-26 00:00:00","1"
"3852M","426","0.406","69","28","140","268380","1995-11-03 00:00:00","69"
"3854M","394","0","1","0","140","248220","1995-08-26 00:00:00","1"
"3854M","450","0.812","69","56","140","283500","1995-11-03 00:00:00","69"
"3855M","394","0","1","0","140","248220","1995-08-26 00:00:00","1"
"3855M","460","0.957","69","66","140","289800","1995-11-03 00:00:00","69"
"3856","380","17.333","3","52","140","239400","1995-08-26 00:00:00","3"
"3856","390","0.145","69","10","140","245700","1995-11-03 00:00:00","69"
"3857M","390","0","1","0","140","245700","1995-08-26 00:00:00","1"
"3857M","410","0.29","69","20","140","258300","1995-11-03 00:00:00","69"
"3858M","398","0","1","0","140","250740","1995-08-26 00:00:00","1"
"3858M","426","0.406","69","28","140","268380","1995-11-03 00:00:00","69"
"3859M","358","0","1","0","140","225540","1995-08-26 00:00:00","1"
"3859M","366","0.116","69","8","140","230580","1995-11-03 00:00:00","69"
"3860","390","26.667","3","80","140","245700","1995-08-26 00:00:00","3"
"3860","426","0.522","69","36","140","268380","1995-11-03 00:00:00","69"
"3861M","464","0","1","0","140","292320","1995-08-26 00:00:00","1"
"3861M","454","-0.145","69","-10","140","286020","1995-11-03 00:00:00","69"
"3862M","350","0","1","0","140","220500","1995-08-26 00:00:00","1"
"3862M","390","0.58","69","40","140","245700","1995-11-03 00:00:00","69"
"3864M","420","0","1","0","140","264600","1995-08-26 00:00:00","1"
"3864M","450","0.435","69","30","140","283500","1995-11-03 00:00:00","69"
"3867M","364","0","1","0","140","229320","1995-08-26 00:00:00","1"
"3867M","416","0.754","69","52","140","262080","1995-11-03 00:00:00","69"
"3868M","350","0","1","0","140","220500","1995-08-26 00:00:00","1"
"3868M","400","0.725","69","50","140","252000","1995-11-03 00:00:00","69"
"4805M","390","0","1","0","140","245700","1995-08-26 00:00:00","1"
"4805M","440","0.725","69","50","140","277200","1995-11-03 00:00:00","69"
"3853M","472","0.203","69","14","140","297360","1995-11-03 00:00:00","69"
"3857","484","1.217","143","174","300","304920","1996-01-13 00:00:00","143"
"3857M","484","1.057","70","74","300","304920","1996-01-12 00:00:00","70"
"3856","460","1","70","70","300","289800","1996-01-12 00:00:00","70"
"3826M","524","0.629","70","44","300","330120","1996-01-12 00:00:00","70"
"3820M","400","1.143","70","80","300","252000","1996-01-12 00:00:00","70"
"3868M","486","1.229","70","86","300","306180","1996-01-12 00:00:00","70"
"3858M","490","0.914","70","64","300","308700","1996-01-12 00:00:00","70"
"3860M","470","0.571","140","80","300","296100","1996-01-12 00:00:00","140"
"3856M","460","0.571","140","80","300","289800","1996-01-12 00:00:00","140"
"3849M","464","0.971","70","68","300","292320","1996-01-12 00:00:00","70"
"3855M","510","0.714","70","50","300","321300","1996-01-12 00:00:00","70"
"3862M","450","0.857","70","60","300","283500","1996-01-12 00:00:00","70"
"3863M","520","1.171","70","82","300","327600","1996-01-12 00:00:00","70"
"3818M","640","3","70","210","300","403200","1996-01-12 00:00:00","70"
"3854M","510","0.857","70","60","300","321300","1996-01-12 00:00:00","70"
"3836M","450","1","70","70","300","283500","1996-01-12 00:00:00","70"
"3839M","520","1","70","70","300","327600","1996-01-12 00:00:00","70"
"3825M","546","0.943","70","66","300","343980","1996-01-12 00:00:00","70"
"3847M","470","0.686","70","48","300","296100","1996-01-12 00:00:00","70"
"3852M","520","1.343","70","94","300","327600","1996-01-12 00:00:00","70"
"3861M","534","1.143","70","80","300","336420","1996-01-12 00:00:00","70"
"3848M","510","1.029","70","72","300","321300","1996-01-12 00:00:00","70"
"3831M","500","0.771","70","54","300","315000","1996-01-12 00:00:00","70"
"3845M","470","1.057","70","74","300","296100","1996-01-12 00:00:00","70"
"3838M","520","1.2","70","84","300","327600","1996-01-12 00:00:00","70"
"3853M","530","0.829","70","58","300","333900","1996-01-12 00:00:00","70"
"4840M","436","0.8","140","112","300","274680","1996-01-12 00:00:00","140"
"3834M","436","0.971","70","68","300","274680","1996-01-12 00:00:00","70"
"3859M","420","0.771","70","54","300","264600","1996-01-12 00:00:00","70"
"3850M","500","0.643","140","90","300","315000","1996-01-12 00:00:00","140"
"3843M","380","0.143","70","10","300","239400","1996-01-12 00:00:00","70"
"3842M","490","1.029","70","72","300","308700","1996-01-12 00:00:00","70"
"3867M","490","1.057","70","74","300","308700","1996-01-12 00:00:00","70"
"3835M","490","0.6","70","42","300","308700","1996-01-12 00:00:00","70"
"3851M","440","0.771","70","54","300","277200","1996-01-12 00:00:00","70"
"3823M","520","1.114","70","78","300","327600","1996-01-12 00:00:00","70"
"3827M","484","0.914","70","64","300","304920","1996-01-12 00:00:00","70"
"3821M","490","0.714","70","50","300","308700","1996-01-12 00:00:00","70"
"3864M","520","1","70","70","300","327600","1996-01-12 00:00:00","70"
"3865M","430","0.053","187","10","300","270900","1996-02-28 00:00:00","187"
"3845M","472","0.043","47","2","300","297360","1996-02-28 00:00:00","47"
"3862","480","0.91","189","172","300","302400","1996-02-28 00:00:00","189"
"3862M","480","0.638","47","30","300","302400","1996-02-28 00:00:00","47"
"4849M","410","0.882","34","30","300","258300","1996-02-28 00:00:00","34"
"4811M","400","0.412","34","14","300","252000","1996-02-28 00:00:00","34"
"3842M","508","0.383","47","18","300","320040","1996-02-28 00:00:00","47"
"3831M","548","1.021","47","48","300","345240","1996-02-28 00:00:00","47"
"3820M","410","0.213","47","10","300","258300","1996-02-28 00:00:00","47"
"3843M","414","0.723","47","34","300","260820","1996-02-28 00:00:00","47"
"4838M","420","0.882","34","30","300","264600","1996-02-28 00:00:00","34"
"4824M","478","0.941","34","32","300","301140","1996-02-28 00:00:00","34"
"3836M","450","0","47","0","300","283500","1996-02-28 00:00:00","47"
"3860M","496","0.553","47","26","300","312480","1996-02-28 00:00:00","47"
"3847M","482","0.255","47","12","300","303660","1996-02-28 00:00:00","47"
"3834M","444","0.17","47","8","300","279720","1996-02-28 00:00:00","47"
"4819M","430","1.294","34","44","300","270900","1996-02-28 00:00:00","34"
"4823M","400","-0.353","34","-12","300","252000","1996-02-28 00:00:00","34"
"3849M","476","0.255","47","12","300","299880","1996-02-28 00:00:00","47"
"3864M","544","0.511","47","24","300","342720","1996-02-28 00:00:00","47"
"4825M","444","1","34","34","300","279720","1996-02-28 00:00:00","34"
"4862M","446","1.059","34","36","300","280980","1996-02-28 00:00:00","34"
"4842M","430","1","34","34","300","270900","1996-02-28 00:00:00","34"
"4832M","410","0.882","34","30","300","258300","1996-02-28 00:00:00","34"
"4826M","460","1.118","34","38","300","289800","1996-02-28 00:00:00","34"
"4813M","408","0.824","34","28","300","257040","1996-02-28 00:00:00","34"
"3855M","528","0.383","47","18","300","332640","1996-02-28 00:00:00","47"
"4827M","450","1.176","34","40","300","283500","1996-02-28 00:00:00","34"
"3851M","460","0.426","47","20","300","289800","1996-02-28 00:00:00","47"
"4864M","420","1.176","34","40","300","264600","1996-02-28 00:00:00","34"
"4828M","428","1","34","34","300","269640","1996-02-28 00:00:00","34"
"3859M","450","0.638","47","30","300","283500","1996-02-28 00:00:00","47"
"4816M","426","1","34","34","300","268380","1996-02-28 00:00:00","34"
"3861M","522","-0.255","47","-12","300","328860","1996-02-28 00:00:00","47"
"4801M","430","1.118","34","38","300","270900","1996-02-28 00:00:00","34"
"4840M","450","0.298","47","14","300","283500","1996-02-28 00:00:00","47"
"3827M","504","0.426","47","20","300","317520","1996-02-28 00:00:00","47"
"4818M","446","0.882","34","30","300","280980","1996-02-28 00:00:00","34"
"4846M","424","1.294","34","44","300","267120","1996-02-28 00:00:00","34"
"4803M","480","0.652","46","30","300","302400","1996-02-28 00:00:00","46"
"3827M","522","0.818","22","18","300","328860","1996-03-21 00:00:00","22"
"3831M","566","0.818","22","18","300","356580","1996-03-21 00:00:00","22"
"3842M","528","0.909","22","20","300","332640","1996-03-21 00:00:00","22"
"3861M","562","1.818","22","40","300","354060","1996-03-21 00:00:00","22"
"3864M","562","0.818","22","18","300","354060","1996-03-21 00:00:00","22"
"3003M","436","0.492","118","58","300","274680","1996-05-22 00:00:00","118"
"3021M","400","0.347","118","41","300","252000","1996-05-22 00:00:00","118"
"3026M","460","0.797","118","94","300","289800","1996-05-22 00:00:00","118"
"3028M","404","0.508","118","60","300","254520","1996-05-22 00:00:00","118"
"3045M","518","0.661","118","78","300","326340","1996-05-22 00:00:00","118"
"3051M","444","0.839","118","99","300","279720","1996-05-22 00:00:00","118"
"3063M","380","0.593","118","70","300","239400","1996-05-22 00:00:00","118"
"3066M","428","0.619","118","73","300","269640","1996-05-22 00:00:00","118"
"3067M","440","0.593","118","70","300","277200","1996-05-22 00:00:00","118"
"3075M","400","0.381","118","45","300","252000","1996-05-22 00:00:00","118"
"3079M","434","0.712","118","84","300","273420","1996-05-22 00:00:00","118"
"3087M","470","1.314","118","155","300","296100","1996-05-22 00:00:00","118"
"3089M","418","0.483","118","57","300","263340","1996-05-22 00:00:00","118"
"3091M","472","0.856","118","101","300","297360","1996-05-22 00:00:00","118"
"3097M","406","0.466","118","55","300","255780","1996-05-22 00:00:00","118"
"3100M","422","0.568","118","67","300","265860","1996-05-22 00:00:00","118"
"3110M","434","0.771","118","91","300","273420","1996-05-22 00:00:00","118"
"3111M","434","0.585","118","69","300","273420","1996-05-22 00:00:00","118"
"3125M","390","0.593","118","70","300","245700","1996-05-22 00:00:00","118"
"3127M","426","0.441","118","52","300","268380","1996-05-22 00:00:00","118"
"3132M","412","0.678","118","80","300","259560","1996-05-22 00:00:00","118"
"3134M","412","0.644","118","76","300","259560","1996-05-22 00:00:00","118"
"3139M","460","0.653","118","77","300","289800","1996-05-22 00:00:00","118"
"3142M","436","0.39","118","46","300","274680","1996-05-22 00:00:00","118"
"3148M","440","0.636","118","75","300","277200","1996-05-22 00:00:00","118"
"3165M","420","0.314","118","37","300","264600","1996-05-22 00:00:00","118"
"3177M","440","0.695","118","82","300","277200","1996-05-22 00:00:00","118"
"3179M","400","0.568","118","67","300","252000","1996-05-22 00:00:00","118"
"3183M","400","0.568","118","67","300","252000","1996-05-22 00:00:00","118"
"3190M","436","0.89","118","105","300","274680","1996-05-22 00:00:00","118"
"3193M","414","0.568","118","67","300","260820","1996-05-22 00:00:00","118"
"3212M","400","0.669","118","79","300","252000","1996-05-22 00:00:00","118"
"3268M","440","0.754","118","89","300","277200","1996-05-22 00:00:00","118"
"3271M","416","0.432","118","51","300","262080","1996-05-22 00:00:00","118"
"3276M","408","0.619","118","73","300","257040","1996-05-22 00:00:00","118"
"3603M","440","0.339","118","40","300","277200","1996-05-22 00:00:00","118"
"3629M","482","0.432","118","51","300","303660","1996-05-22 00:00:00","118"
"3630M","440","0.534","118","63","300","277200","1996-05-22 00:00:00","118"
"3667M","436","0.678","118","80","300","274680","1996-05-22 00:00:00","118"
"3820M","398","-0.143","84","-12","300","250740","1996-05-22 00:00:00","84"
"3834M","486","0.5","84","42","300","306180","1996-05-22 00:00:00","84"
"3836M","484","0.405","84","34","300","304920","1996-05-22 00:00:00","84"
"3843M","440","0.31","84","26","300","277200","1996-05-22 00:00:00","84"
"3845M","498","0.31","84","26","300","313740","1996-05-22 00:00:00","84"
"3847M","522","0.476","84","40","300","328860","1996-05-22 00:00:00","84"
"3849M","496","0.238","84","20","300","312480","1996-05-22 00:00:00","84"
"3851M","492","0.381","84","32","300","309960","1996-05-22 00:00:00","84"
"3855M","568","0.476","84","40","300","357840","1996-05-22 00:00:00","84"
"3859M","494","0.524","84","44","300","311220","1996-05-22 00:00:00","84"
"3860M","526","0.357","84","30","300","331380","1996-05-22 00:00:00","84"
"3862M","518","0.452","84","38","300","326340","1996-05-22 00:00:00","84"
"3865M","460","0.357","84","30","300","289800","1996-05-22 00:00:00","84"
"4801M","446","0.19","84","16","300","280980","1996-05-22 00:00:00","84"
"4803M","492","0.143","84","12","300","309960","1996-05-22 00:00:00","84"
"4807M","474","0.167","84","14","300","298620","1996-05-22 00:00:00","84"
"4811M","418","0.214","84","18","300","263340","1996-05-22 00:00:00","84"
"4813M","444","0.429","84","36","300","279720","1996-05-22 00:00:00","84"
"4816M","476","0.595","84","50","300","299880","1996-05-22 00:00:00","84"
"4818M","482","0.429","84","36","300","303660","1996-05-22 00:00:00","84"
"4819M","444","0.167","84","14","300","279720","1996-05-22 00:00:00","84"
"4823M","444","0.524","84","44","300","279720","1996-05-22 00:00:00","84"
"4825M","484","0.476","84","40","300","304920","1996-05-22 00:00:00","84"
"4826M","490","0.357","84","30","300","308700","1996-05-22 00:00:00","84"
"4827M","498","0.571","84","48","300","313740","1996-05-22 00:00:00","84"
"4828M","474","0.548","84","46","300","298620","1996-05-22 00:00:00","84"
"4832M","448","0.452","84","38","300","282240","1996-05-22 00:00:00","84"
"4838M","446","0.31","84","26","300","280980","1996-05-22 00:00:00","84"
"4840M","484","0.405","84","34","300","304920","1996-05-22 00:00:00","84"
"4842M","470","0.476","84","40","300","296100","1996-05-22 00:00:00","84"
"4846M","458","0.405","84","34","300","288540","1996-05-22 00:00:00","84"
"4849M","454","0.524","84","44","300","286020","1996-05-22 00:00:00","84"
"4862M","486","0.476","84","40","300","306180","1996-05-22 00:00:00","84"
"4864M","446","0.31","84","26","300","280980","1996-05-22 00:00:00","84"
"D8106","188","0","0","0","440","0","1996-06-17 00:00:00","0"
"D8111","144","0","0","0","440","0","1996-06-17 00:00:00","0"
"D8115","152","0","0","0","440","0","1996-06-17 00:00:00","0"
"D8116","170","0","0","0","440","0","1996-06-17 00:00:00","0"
"D8117","230","0","0","0","440","0","1996-06-17 00:00:00","0"
"D8120","164","0","0","0","440","0","1996-06-17 00:00:00","0"
"D8121","160","0","0","0","440","0","1996-06-17 00:00:00","0"
"D8122","170","0","0","0","440","0","1996-06-17 00:00:00","0"
"D8129","198","0","0","0","440","0","1996-06-17 00:00:00","0"
"3851M","520","1","28","28","440","327600","1996-06-19 00:00:00","28"
"4824M","550","0.643","112","72","440","346500","1996-06-19 00:00:00","112"
"3612M","574","1.929","28","54","440","361620","1996-06-19 00:00:00","28"
"3855M","590","0.786","28","22","440","371700","1996-06-19 00:00:00","28"
"4840M","498","0.5","28","14","440","313740","1996-06-19 00:00:00","28"
"4803M","548","2","28","56","440","345240","1996-06-19 00:00:00","28"
"4807M","500","0.929","28","26","440","315000","1996-06-19 00:00:00","28"
"4827M","518","0.714","28","20","440","326340","1996-06-19 00:00:00","28"
"4825M","522","1.357","28","38","440","328860","1996-06-19 00:00:00","28"
"3847M","568","1.643","28","46","440","357840","1996-06-19 00:00:00","28"
"3860M","566","1.429","28","40","440","356580","1996-06-19 00:00:00","28"
"3834M","506","0.714","28","20","440","318780","1996-06-19 00:00:00","28"
"3045M","558","1.429","28","40","440","351540","1996-06-19 00:00:00","28"
"3862M","542","0.857","28","24","440","341460","1996-06-19 00:00:00","28"
"3092M","562","2.214","28","62","440","354060","1996-06-19 00:00:00","28"
"3845M","512","0.5","28","14","440","322560","1996-06-19 00:00:00","28"
"3859M","530","1.286","28","36","440","333900","1996-06-19 00:00:00","28"
"3849M","514","0.643","28","18","440","323820","1996-06-19 00:00:00","28"
"3091M","498","0.722","36","26","440","313740","1996-06-27 00:00:00","36"
"4839M","460","0.61","154","94","440","289800","1996-06-27 00:00:00","154"
"4831M","420","0.481","154","74","440","264600","1996-06-27 00:00:00","154"
"4838M","470","0.667","36","24","440","296100","1996-06-27 00:00:00","36"
"4846M","504","1.278","36","46","440","317520","1996-06-27 00:00:00","36"
"3100M","450","0.778","36","28","440","283500","1996-06-27 00:00:00","36"
"3003M","460","0.667","36","24","440","289800","1996-06-27 00:00:00","36"
"4864M","470","0.667","36","24","440","296100","1996-06-27 00:00:00","36"
"4870M","440","0.649","154","100","440","277200","1996-06-27 00:00:00","154"
"3212M","444","1.222","36","44","440","279720","1996-06-27 00:00:00","36"
"3268M","476","1","36","36","440","299880","1996-06-27 00:00:00","36"
"4823M","476","0.889","36","32","440","299880","1996-06-27 00:00:00","36"
"4802M","454","0.468","154","72","440","286020","1996-06-27 00:00:00","154"
"3865M","480","0.556","36","20","440","302400","1996-06-27 00:00:00","36"
"3603M","470","0.833","36","30","440","296100","1996-06-27 00:00:00","36"
"3139M","476","0.444","36","16","440","299880","1996-06-27 00:00:00","36"
"4828M","360","-3.167","36","-114","440","226800","1996-06-27 00:00:00","36"
"3177M","470","0.833","36","30","440","296100","1996-06-27 00:00:00","36"
"4801M","494","1.333","36","48","440","311220","1996-06-27 00:00:00","36"
"4830M","420","0.442","154","68","440","264600","1996-06-27 00:00:00","154"
"3630M","462","0.611","36","22","440","291060","1996-06-27 00:00:00","36"
"3271M","462","1.278","36","46","440","291060","1996-06-27 00:00:00","36"
"4832M","466","0.5","36","18","440","293580","1996-06-27 00:00:00","36"
"4813M","472","0.778","36","28","440","297360","1996-06-27 00:00:00","36"
"4812M","462","0.532","154","82","440","291060","1996-06-27 00:00:00","154"
"4821M","438","0.338","154","52","440","275940","1996-06-27 00:00:00","154"
"4849M","464","0.278","36","10","440","292320","1996-06-27 00:00:00","36"
"4811M","464","1.278","36","46","440","292320","1996-06-27 00:00:00","36"
"3667M","468","0.889","36","32","440","294840","1996-06-27 00:00:00","36"
"4837M","410","0.429","154","66","440","258300","1996-06-27 00:00:00","154"
"3629M","520","1.056","36","38","440","327600","1996-06-27 00:00:00","36"
"3034M","382","1.333","36","48","440","240660","1996-06-27 00:00:00","36"
"3075M","462","1.722","36","62","440","291060","1996-06-27 00:00:00","36"
"4851M","434","0.623","154","96","440","273420","1996-06-27 00:00:00","154"
"4826M","506","0.444","36","16","440","318780","1996-06-27 00:00:00","36"
"3179M","434","0.944","36","34","440","273420","1996-06-27 00:00:00","36"
"4816M","504","0.778","36","28","440","317520","1996-06-27 00:00:00","36"
"3843M","440","0","36","0","440","277200","1996-06-27 00:00:00","36"
"3087M","520","1.389","36","50","440","327600","1996-06-27 00:00:00","36"
"3026M","482","0.611","36","22","440","303660","1996-06-27 00:00:00","36"
"3165M","450","0.833","36","30","440","283500","1996-06-27 00:00:00","36"
"3110M","462","0.778","36","28","440","291060","1996-06-27 00:00:00","36"
"3079M","462","0.778","36","28","440","291060","1996-06-27 00:00:00","36"
"3142M","472","1","36","36","440","297360","1996-06-27 00:00:00","36"
"3820M","440","1.167","36","42","440","277200","1996-06-27 00:00:00","36"
"3028M","434","0.833","36","30","440","273420","1996-06-27 00:00:00","36"
"4818M","508","0.722","36","26","440","320040","1996-06-27 00:00:00","36"
"4862M","524","1.056","36","38","440","330120","1996-06-27 00:00:00","36"
"3193M","434","0.556","36","20","440","273420","1996-06-27 00:00:00","36"
"3276M","420","0.333","36","12","440","264600","1996-06-27 00:00:00","36"
"4805M","508","0.287","237","68","440","320040","1996-06-27 00:00:00","237"
"3127M","450","0.667","36","24","440","283500","1996-06-27 00:00:00","36"
"4819M","460","0.444","36","16","440","289800","1996-06-27 00:00:00","36"
