"SERIE","FECAP","FECAS","FECPO","FECFO","PROLT","PROM","DIALAC","DIAORD","FECSER","BECERRO","SEXO","TOROPAJ","NOMI","FREGP","INTDIAABI","INTESTPAR","PESO_PREÑEZ","MESES_PREÑADA","METODO","FEPRE","TOROTEMP","Historia","NCICLO"
"D8007","1999-04-02 00:00:00","1999-03-03 00:00:00","1998-05-14 00:00:00","1999-04-30 00:00:00","35.3","0.100569800569801","351","351","","","","","","1998-12-18 00:00:00","81","351","0","5.5","Monta Libre","1998-07-06 00:00:00","","False",""
"2827","1999-03-03 00:00:00","1999-02-01 00:00:00","1998-05-14 00:00:00","1998-12-15 00:00:00","7.6","0.0353488372093023","215","215","","","","","","1998-12-18 00:00:00","51","321","0","6.5","Monta Libre","1998-06-06 00:00:00","","False",""
"2806","1999-02-01 00:00:00","1999-01-02 00:00:00","1998-05-14 00:00:00","1999-04-30 00:00:00","46.3","0.131908831908832","351","351","","","","","","1998-12-18 00:00:00","49","319","0","7.5","Monta Libre","1998-05-07 00:00:00","","False",""
"4874","1999-04-02 00:00:00","1999-12-11 00:00:00","1999-04-15 00:00:00","1999-04-30 00:00:00","6","0.4","15","15","","","","","","1998-12-18 00:00:00","21","291","0","5.5","Monta Libre","1998-07-06 00:00:00","","False",""
"9514","1999-05-02 00:00:00","1999-04-02 00:00:00","1997-12-18 00:00:00","1999-04-30 00:00:00","69.7","0.13995983935743","498","498","","","","","","1998-12-18 00:00:00","246","516","0","4.5","Monta Libre","1998-08-05 00:00:00","","False",""
"3815","1999-02-16 00:00:00","1999-01-17 00:00:00","1998-05-14 00:00:00","1999-04-30 00:00:00","29.7","0.0846153846153846","351","351","","","","","","1998-12-18 00:00:00","4","274","0","7","Monta Libre","1998-05-22 00:00:00","","False",""
"4819","1999-03-03 00:00:00","1999-02-01 00:00:00","","","1598.685","3.122431640625","512","512","","","","","","1998-12-18 00:00:00","196","466","0","6.5","Monta Libre","1998-06-06 00:00:00","","False",""
"114","1999-12-31 00:00:00","1999-12-01 00:00:00","","","","","","","","","","","","1999-08-18 00:00:00","467","737","0","4.5","Monta Libre","1999-04-05 00:00:00","","False",""
"2801","1999-05-02 00:00:00","1999-04-02 00:00:00","1998-01-15 00:00:00","1999-06-28 00:00:00","35.1","0.066351606805293","529","529","","","","","","1998-12-18 00:00:00","209","479","0","4.5","Monta Libre","1998-08-05 00:00:00","","False",""
"   430","1999-12-03 00:00:00","1999-10-19 00:00:00","","","","","0","0","","","","         P-7","MV.JULIO CAMPOLARGO","1999-06-17 00:00:00","89","374","0","116","Inseminación Artificial","1999-02-21 00:00:00","","False",""
"   430","1993-01-01 00:00:00","","","","0","","","","","123/8","MACHO","5/89","","1993-01-01 00:00:00","","","0","0","","","","True","5"
"   430","2000-06-28 00:00:00","2000-05-24 00:00:00","","","","","","","","","","205","","1999-09-27 00:00:00","33","308","0","0","Inseminación Artificial","1999-09-27 00:00:00","","False",""
"   5/2","1999-10-15 00:00:00","1999-09-10 00:00:00","","","","","","","","","","P-407","GENARO RODRIGUEZ","1999-11-02 00:00:00","432","707","0","293","Inseminación Artificial","1999-01-13 00:00:00","","False",""
"1529","1999-10-08 00:00:00","1999-09-03 00:00:00","1998-11-21 00:00:00","1999-11-02 00:00:00","165.2","0.477456647398844","346","346","","","","P-407","GENARO RODRIGUEZ","1999-01-28 00:00:00","420","695","0","22","Inseminación Artificial","1999-01-06 00:00:00","","False",""
"D0159","1999-10-12 00:00:00","1999-09-07 00:00:00","","","","","","","","","","93627M","","1999-11-02 00:00:00","145","420","0","296","Inseminación Artificial","1999-01-10 00:00:00","","False",""
"113","1990-04-07 00:00:00","","","","0","","","","","05","MACHO","62","","1990-04-07 00:00:00","","","0","0","","","","True","10"
"113","1988-12-01 00:00:00","","","","0","","","","","07","HEMBRA","","","1988-12-01 00:00:00","","","0","0","","","","True","1"
"3806","1997-01-01 00:00:00","","","","0","","","","","b/3806","HEMBRA","001","","1997-01-01 00:00:00","","","0","0","","","","True","1"
"1512","1999-04-02 00:00:00","1999-05-27 00:00:00","1998-09-29 00:00:00","2000-01-31 00:00:00","2138.85","4.3739263803681","489","489","","","","","","1998-12-18 00:00:00","109","379","0","5.5","Monta Libre","1998-07-06 00:00:00","","False",""
"003JB","1999-03-09 00:00:00","1999-02-07 00:00:00","","","","","0","0","","","","","","1998-10-10 00:00:00","67","337","0","4","Temporada de Monta","1998-06-12 00:00:00","","False",""
"003RS","1999-02-17 00:00:00","1999-01-18 00:00:00","","","","","0","0","","","","","","1998-10-20 00:00:00","0","0","0","5","Temporada de Monta","1998-05-23 00:00:00","","False",""
"004","1999-04-08 00:00:00","1999-03-09 00:00:00","","","","","0","0","","","","","","1998-10-10 00:00:00","125","395","0","3","Temporada de Monta","1998-07-12 00:00:00","","False",""
"   5/2","","2000-10-15 00:00:00","2000-02-18 00:00:00","2000-04-18 00:00:00","217.793333333333","3.62988888888888","60","60","","","","","","","0","0","0","0","","","","False",""
"003JB","","2000-10-15 00:00:00","2000-02-18 00:00:00","2000-04-18 00:00:00","216","3.6","60","60","","","","","","","0","0","0","0","","","","False",""
"D6028","","1999-02-28 00:00:00","1998-05-14 00:00:00","1999-02-28 00:00:00","604.533333333333","2.08459770114942","290","290","","","","","","","0","0","0","1","","","","False",""
"1602","","1999-08-02 00:00:00","1998-12-05 00:00:00","2000-02-13 00:00:00","2087.7325","4.79938505747126","435","435","","","","","","","0","0","0","0","","","","False",""
"2808","","1999-07-05 00:00:00","1998-11-07 00:00:00","2000-02-13 00:00:00","2616.1755","5.65048704103672","463","463","","","","","","","0","0","0","0","","","","False",""
"2814","","1999-07-05 00:00:00","1998-11-07 00:00:00","2000-02-18 00:00:00","1398.9265","2.98915918803419","468","468","","","","","","","0","0","0","0","","","","False",""
"2862","","1999-07-05 00:00:00","1998-11-07 00:00:00","1999-07-05 00:00:00","2461.30566666667","10.2554402777778","240","240","","","","","","","0","0","0","0","","","","False",""
"2852","","1999-07-19 00:00:00","1998-11-21 00:00:00","1999-07-19 00:00:00","1019.98566666667","4.24994027777779","240","240","","","","","","","0","0","0","0","","","","False",""
"2871","","1999-07-05 00:00:00","1998-11-07 00:00:00","1999-07-05 00:00:00","723.1","3.01291666666667","240","240","","","","","","","0","0","0","0","","","","False",""
"231","","1999-08-02 00:00:00","1998-12-05 00:00:00","2000-02-13 00:00:00","2120.92916666667","4.87569923371648","435","435","","","","","","","0","0","0","0","","","","False",""
"3808","","1999-08-02 00:00:00","1998-12-05 00:00:00","1999-08-02 00:00:00","1252.70916666667","5.21962152777779","240","240","","","","","","","0","0","0","0","","","","False",""
"3813","","1999-08-02 00:00:00","1998-12-05 00:00:00","1999-08-02 00:00:00","1147.98083333333","4.78325347222221","240","240","","","","","","","0","0","0","0","","","","False",""
"3828","","1999-05-27 00:00:00","1998-09-29 00:00:00","1999-05-27 00:00:00","1410.722","5.87800833333333","240","240","","","","","","","0","0","0","0","","","","False",""
"2829","","1999-10-25 00:00:00","1999-02-27 00:00:00","1999-06-30 00:00:00","546.1","4.43983739837398","123","123","","","","","","","0","0","0","0","","","","False",""
"3865","","1999-02-28 00:00:00","1998-05-14 00:00:00","1999-02-28 00:00:00","966.733333333333","3.3335632183908","290","290","","","","","","","0","0","0","1","","","","False",""
"012345678901","2000-03-30 00:00:00","2000-02-24 00:00:00","","","","","0","0","","","","","","1999-09-27 00:00:00","-365","-90","0","3","Monta Libre","1999-06-29 00:00:00","","False",""
"     9","1996-05-29 00:00:00","","","","0","","","","","b/999","MACHO","0581","","1996-05-29 00:00:00","","","0","0","","","","True","2"
"   243","2000-06-30 00:00:00","2000-04-16 00:00:00","1999-07-18 00:00:00","1999-10-11 00:00:00","298.81","3.05","085","210","1999-09-19 00:00:00","","","","","1999-10-19 00:00:00","61","346","0","1","Monta Libre","1999-09-19 00:00:00","","False",""
"3854","1999-06-01 00:00:00","1999-05-02 00:00:00","1998-02-24 00:00:00","","3.8","0.00794979079497908","478","478","","","","","","1998-12-18 00:00:00","181","451","0","3.5","Monta Libre","1998-09-04 00:00:00","","False",""
"   134","2000-11-26 00:00:00","2000-10-22 00:00:00","1999-06-28 00:00:00","","","","0","0","","","","","","2000-05-25 00:00:00","246","521","0","3","Monta Libre","2000-02-25 00:00:00","","False",""
"     9","","2000-04-06 00:00:00","1999-06-11 00:00:00","2000-09-26 00:00:00","2845.02216666667","6.01","473","473","","","","","","","0","0","0","1","","","","False",""
"          01","2000-09-10 00:00:00","2000-08-11 00:00:00","","","","","0","0","","","","       P9124","ENRIQUE BELEÑOS","2000-04-13 00:00:00","0","0","0","120","Inseminación Artificial","1999-12-15 00:00:00","","False",""
"          02","2000-12-23 00:00:00","2000-11-23 00:00:00","","","","","0","0","","","","","","2000-04-27 00:00:00","0","0","0","1","Monta Libre","2000-03-28 00:00:00","","False",""
"          04","2000-09-06 00:00:00","2000-07-22 00:00:00","","","","","0","0","","","","        H027","ENRIQUE BELEÑOS","2000-01-30 00:00:00","0","0","0","66","Inseminación Artificial","1999-11-25 00:00:00","","False",""
"005","1999-02-07 00:00:00","1999-01-08 00:00:00","","","","","0","0","","","","","","1998-10-10 00:00:00","49","319","0","5","Temporada de Monta","1998-05-13 00:00:00","","False",""
"          27","2000-01-16 00:00:00","1999-12-01 00:00:00","","","","","0","0","","","","","","1999-05-20 00:00:00","196","482","0","1.5","Monta Libre","1999-04-05 00:00:00","","False",""
"004","2000-12-13 00:00:00","2000-11-08 00:00:00","","","","","","","","","","P-407","GENARO RODRIGUEZ","2001-06-22 00:00:00","340","615","0","466","Inseminación Artificial","2000-03-13 00:00:00","","False",""
"003JB","2000-12-08 00:00:00","2000-11-03 00:00:00","2000-05-15 00:00:00","2001-06-22 00:00:00","933.228333333333","2.31570306038048","403","403","","","","30344","","2000-08-15 00:00:00","365","640","950","160","Inseminación Artificial","2000-03-08 00:00:00","","False",""
"011","2001-01-13 00:00:00","2000-12-09 00:00:00","2000-06-15 00:00:00","2001-06-22 00:00:00","427.08","1.14806451612903","372","372","","","","93627M","","2000-05-15 00:00:00","729","1004","0","32","Inseminación Artificial","2000-04-13 00:00:00","","False",""
"    13","2014-01-04 00:00:00","2013-11-25 00:00:00","","","","","","","","","","","","2013-05-29 00:00:00","6129","6409","0","2","Monta Libre","2013-03-30 00:00:00","","False",""
"1529","2000-09-15 00:00:00","2000-08-11 00:00:00","","","","","0","0","","","","30344","","2000-02-21 00:00:00","74","349","0","68","Inseminación Artificial","1999-12-15 00:00:00","","False",""
"1549","1999-10-08 00:00:00","1999-09-03 00:00:00","","","","","0","0","","","","P-407","GENARO RODRIGUEZ","2000-01-13 00:00:00","-77","198","0","372","Inseminación Artificial","1999-01-06 00:00:00","","False",""
"003RS","2000-08-05 00:00:00","2000-07-01 00:00:00","","","","","0","0","","","","","","2000-02-02 00:00:00","240","515","0","3","Monta Libre","1999-11-04 00:00:00","","False",""
"005G","2000-08-05 00:00:00","2000-07-01 00:00:00","","","","","0","0","","","","","","2000-02-02 00:00:00","0","0","0","3","Monta Libre","1999-11-04 00:00:00","","False",""
"006","2000-06-06 00:00:00","2000-05-02 00:00:00","","","","","0","0","","","","","","2000-02-02 00:00:00","549","824","0","5","Monta Libre","1999-09-05 00:00:00","","False",""
"007","2000-06-06 00:00:00","2000-05-02 00:00:00","","","","","0","0","","","","","","2000-02-02 00:00:00","0","0","0","5","Monta Libre","1999-09-05 00:00:00","","False",""
"007","2003-05-07 00:00:00","2003-04-02 00:00:00","","","","","","","","","","","","2003-05-02 00:00:00","0","0","0","9","","2002-08-05 00:00:00","","False",""
"25204","2009-04-17 00:00:00","2009-03-08 00:00:00","","","","","","","","","","H326","TIRSO","2009-04-18 00:00:00","0","0","0","281","Inseminación Artificial","2008-07-11 00:00:00","","False",""
"25290","2009-02-27 00:00:00","2009-01-18 00:00:00","","","","","","","","","","VQPS3188","TIRSO","2008-08-07 00:00:00","0","0","0","76","Inseminación Artificial","2008-05-23 00:00:00","","False",""
"25290","2011-03-16 00:00:00","2011-02-04 00:00:00","","","","","","","","","","","","2010-10-07 00:00:00","450","730","0","4","Temporada de Monta","2010-06-09 00:00:00","","False",""
"6220","2006-02-17 00:00:00","2006-01-08 00:00:00","","","","","","","","","","","","2005-10-10 00:00:00","0","0","0","5","Monta Libre","2005-05-13 00:00:00","","False",""
"45200","2009-01-20 00:00:00","2008-12-11 00:00:00","","","","","","","","","","P-407","BENITO HERNANDEZ","2008-05-25 00:00:00","0","0","355.36","40","Inseminación Artificial","2008-04-15 00:00:00","","False",""
"45200","2010-01-15 00:00:00","2009-12-06 00:00:00","","","","","","","","","","","","2009-10-07 00:00:00","69","349","0","6","Temporada de Monta","2009-04-10 00:00:00","","False",""
"   702","2012-07-24 00:00:00","2012-06-14 00:00:00","1999-09-24 00:00:00","2012-07-09 00:00:00","-42040.461","-8.99838634417808","4672","4672","","","","","","2012-03-16 00:00:00","4414","4694","0","5","Temporada de Monta","2011-10-18 00:00:00","","False",""
"003JB","2004-09-28 00:00:00","2004-08-24 00:00:00","","","","","","","","","","","","2004-04-26 00:00:00","919","1194","0","4","Monta Libre","2003-12-28 00:00:00","","False",""
"    13","","2015-07-16 00:00:00","2014-11-18 00:00:00","2015-01-18 00:00:00","251.0925","4.11627049180328","61","61","","","","","","","0","0","0","0","","","","False",""
"00/2","2015-05-27 00:00:00","2015-04-17 00:00:00","","","","","","","","","","","","2014-11-18 00:00:00","0","0","0","3","Monta Libre","2014-08-20 00:00:00","","False",""
"007JB","1999-03-09 00:00:00","1999-02-07 00:00:00","","","","","0","0","","","","","","1998-10-10 00:00:00","81","351","0","4","Temporada de Monta","1998-06-12 00:00:00","","False",""
"2526","2014-11-26 00:00:00","2014-10-17 00:00:00","","","","","","","","","","","","2014-06-19 00:00:00","0","0","0","4","Monta Libre","2014-02-19 00:00:00","","False",""
"010","1999-03-14 00:00:00","1999-02-12 00:00:00","","","","","0","0","","","","","","1998-10-15 00:00:00","0","0","0","4","Monta Libre","1998-06-17 00:00:00","","False",""
"014JB","1999-04-18 00:00:00","1999-03-19 00:00:00","","","","","0","0","","","","","","1998-10-20 00:00:00","0","0","0","3","Temporada de Monta","1998-07-22 00:00:00","","False",""
"012","2000-12-16 00:00:00","2000-11-11 00:00:00","2000-06-15 00:00:00","","7","0.00168390666345923","4157","4157","","","","","","2000-05-15 00:00:00","722","997","0","2","Monta Libre","2000-03-16 00:00:00","","False",""
"88","2014-12-18 00:00:00","2014-11-08 00:00:00","","","","","","","","","","","","2014-12-08 00:00:00","0","0","0","9","Monta Libre","2014-03-13 00:00:00","","False",""
"85","2015-07-06 00:00:00","2015-05-27 00:00:00","","","","","","","","","","","","2014-11-28 00:00:00","0","0","0","2","Monta Libre","2014-09-29 00:00:00","","False",""
"77","2014-12-18 00:00:00","2014-11-08 00:00:00","","","","","","","","","","","","2014-12-08 00:00:00","0","0","0","9","Monta Libre","2014-03-13 00:00:00","","False",""
"89","2015-04-06 00:00:00","2015-02-25 00:00:00","","","","","","","","","","","","2014-11-27 00:00:00","0","0","0","5","Monta Libre","2014-06-30 00:00:00","","False",""
"22","2014-12-14 00:00:00","2014-11-04 00:00:00","","","","","","","","","","","","2014-12-04 00:00:00","0","0","0","9","Monta Libre","2014-03-09 00:00:00","","False",""
"25","2014-12-18 00:00:00","2014-11-08 00:00:00","","","","","","","","","","","","2014-12-08 00:00:00","0","0","0","9","Monta Libre","2014-03-13 00:00:00","","False",""
"00/39","2014-10-12 00:00:00","2014-09-02 00:00:00","","","","","","","","","","","","2018-12-10 00:00:00","0","0","0","60","Monta Libre","2014-01-05 00:00:00","","False",""
