"SERIE","NOMBRE","CODM","NOMBREM","CODP","NOMBREP","PAJU","FNAC","FECR","FECS","DESTINO","TIPO","RAZA","SEXO","COLORBO","COLORPE","COLORMO","OBSER","PROCEDE","ESTADO","PESOI","PRECIO","PPIES","PESACT","FULPES","PESDES","FECDES","NPARTO","DPARTO","NSERVI","FECUA","FECUP","ABORTO","EDADPP","PESOPP","TIPOAP","TIPOPS","LOTE","LPROD","LPAST","LNACI","LTEMP","ASOC1","SERIE1","ASOC2","SERIE2","ASOC3","SERIE3","ULTGDP","COD","CODAP","CODPS","TIPOREGISTRO1","TIPOREGISTRO2","RAZAPADRE","RAZAMADRE","FECNACPADRE","FECNACMADRE","NROREGPADRE1","NROREGPADRE2","NROREGMADRE1","NROREGMADRE2","ASOCPADRE1","ASOCPADRE2","ASOCMADRE1","ASOCMADRE2","TIPOREGPADRE1","TIPOREGPADRE2","TIPOREGMADRE1","TIPOREGMADRE2","CODAINIORD","Pa1","Pa2","Pa3","Pa4","UA","EsPajuelaPadre","Vaquera","Historia","NCRIAS","NPARREPOR","NABOREPOR"
"25204","","9086","","","","","2005-09-08 00:00:00","2005-09-08 00:00:00","2012-05-08 00:00:00","ANIMALES PERDIDOS (LA LUNA)","VACA VACIA SIN CRIA","BRAHMAN","False","","","","","AGROPECUARIA LA LUNA","CONDICION 1","30","897000","","345","2008-08-05 00:00:00","180","2006-05-26 00:00:00","1","0","0","","2009-09-18 00:00:00","","04-00","0","NOVILLA","","NO PASARON OCT.2011","","","","LOTE TRES 2011","","","","","","","0.35","13","05","","","","","BRAHMAN","","1999-06-12 00:00:00","","","","","","","","","","","","","","0","0","0","0","1","False","","False","1","1","0"
"25290","","  5575","","","","","2005-09-27 00:00:00","2005-09-27 00:00:00","2012-05-08 00:00:00","ANIMALES PERDIDOS (LA LUNA)","VACA VACIA SIN CRIA","BRAHMAN","False","","","","","AGROPECUARIA LA LUNA","CONDICION 1","30","884000","","340","2008-03-15 00:00:00","195","2006-05-26 00:00:00","1","0","0","2011-10-03 00:00:00","2009-03-16 00:00:00","1","03-05","0","VACA VACIA SIN CRIA","","NO PASARON OCT.2011","","","","LOTE TRES 2010","","","","","","","0.22","13","13","","","","","BRAHMAN","","1995-09-12 00:00:00","","","","","","","","","","","","","","30","0","0","0","1","False","","False","1","1","1"
"29204","","20530","","","","","2009-08-31 00:00:00","2009-08-31 00:00:00","2012-05-08 00:00:00","ANIMALES PERDIDOS (LA LUNA)","MAUTA","BRAHMAN","False","","","","","AGROPECUARIA LA LUNA","CONDICION 1","29","338000","","130","2010-03-30 00:00:00","130","2010-03-30 00:00:00","","","0","","","","","","","","NO PASARON OCT.2011","","","","","","","","","","","0.479","04","","","","","","BRAHMAN","","2001-01-30 00:00:00","","","","","","","","","","","","","","29","0","0","0","0.5","False","","False","0","0","0"
"29341","","9038","","","","","2009-10-13 00:00:00","2009-10-13 00:00:00","2012-05-08 00:00:00","ANIMALES PERDIDOS (LA LUNA)","MAUTA","BRAHMAN","False","","","","","AGROPECUARIA LA LUNA","CONDICION 1","27","468000","","180","2010-06-30 00:00:00","180","2010-06-30 00:00:00","","","0","","","","","","","","NO PASARON OCT.2011","","","","","","","","","","","0.588","04","","","","","","BRAHMAN","","1999-05-10 00:00:00","","","","","","","","","","","","","","0","0","0","0","0.5","False","","False","0","0","0"
"29376","","21116","","","","","2009-11-16 00:00:00","2009-11-16 00:00:00","2012-05-08 00:00:00","ANIMALES PERDIDOS (LA LUNA)","MAUTA","BRAHMAN","False","","","","","AGROPECUARIA LA LUNA","CONDICION 1","29","468000","","180","2010-06-30 00:00:00","180","2010-06-30 00:00:00","","","0","","","","","","","","NO PASARON OCT.2011","","","","","","","","","","","0.668","04","","","","","","BRAHMAN","","2001-08-15 00:00:00","","","","","","","","","","","","","","29","0","0","0","0","False","","False","0","0","0"
"30624","","26242","","","","","2010-02-06 00:00:00","","2012-05-08 00:00:00","ANIMALES PERDIDOS (LA LUNA)","MAUTA","BRAHMAN","False","","","","","AGROPECUARIA EL PROGRESO","","19","85050","","135","2011-08-15 00:00:00","210","2011-04-04 00:00:00","","","0","","","","","","","","NO PASARON OCT.2011","","","","","","","","","","","0.209","04","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0.5","False","","False","0","0","0"
"31352","","22498","","1022T","DE MATAPALITO 1022","","2011-04-12 00:00:00","2011-04-12 00:00:00","2012-05-08 00:00:00","ANIMALES PERDIDOS (LA LUNA)","BECERRA","BRAHMAN","False","","","","","AGROPECUARIA LA LUNA","CONDICION 1","28","2600","","28","","","","","","0","","","","","","","","NO PASARON OCT.2011","","","","","","","","","","","0","02","","","","","BRAHMAN","BRAHMAN","2000-05-11 00:00:00","2002-11-18 00:00:00","","","","","","","","","","","","","","0","0","0","0","0.25","False","","False","0","0","0"
"   702","MANSITA","","","","","","1991-05-15 00:00:00","1991-05-16 00:00:00","2013-04-19 00:00:00","GARROVAL","VACA VACIA","MESTIZO PARDO 1/2","False","NEGRA","HOSCA OSCURA","BLANCO","","CLAVELITO","CONDICION 1","33","0","","33","","","","6","4694","1","","2012-07-24 00:00:00","","","","VACA VACIA","VACA PROD.VACIA","L1 VAC ORD","l1","","","LOTE 1 - 2011","","","","","","","0","11","11","12","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","False","Rebaño de la Finca","False","1","1","0"
"   710","ARRECHERA","","","","","","1993-02-05 00:00:00","1993-02-06 00:00:00","2013-04-19 00:00:00","GARROVAL","VACA PROD.VACIA","MESTIZO PARDO 1/2","False","NEGRA","CENIZAOSCURO","BLANCO","","CLAVELITO","CONDICION 1","31","0","","509","1998-01-10 00:00:00","","","5","521","0","","1999-10-15 00:00:00","","","","VACA PROD.VACIA","","L1 VAC ORD","PROD. 2","","","LOTE 1","","","","","","","0.266","12","12","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","False","Rebaño de la Finca","False","0","0","0"
"   722","ORO NEGRO","","","","","","1992-03-03 00:00:00","1992-03-04 00:00:00","2013-04-19 00:00:00","GARROVAL","VACA PROD.VACIA","MESTIZO HOLSTEIN 1/2","False","NEGRA","NERGA","NEGRO","","AGUA SANTA","CONDICION 1","0","0","","429","1999-04-27 00:00:00","","","5","503","0","","1999-09-13 00:00:00","","","","VACA PROD.VACIA","","L1 VAC ORD","l1","ant","","LOTE 1","","","","","","","0.107","12","12","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","False","Rebaño de la Finca","False","0","0","0"
"003rs-b","","003RS","003RS","3808M","","","2003-04-29 00:00:00","2003-04-29 00:00:00","2013-04-19 00:00:00","GARROVAL","BECERRO","CAMPOLARGO 2","True","","","","","FINCA EJEMPLO","","30","18900","","30","","","","","","","","","","","","","","","","","","","","","","","","","0","01","","","","","MESTIZO BRAHMAN","BRAHAMAN","1993-01-29 00:00:00","1988-11-11 00:00:00","","","","","","","","","","","","","","0","0","0","0","0.25","False","","False","0","0","0"
"          02","","","","","","","1995-01-01 00:00:00","2000-05-23 00:00:00","2001-12-03 00:00:00","FONDEAGRI","VACA PREÑADA","","False","","","","","VALMORE MARTINEZ","","600","378000","","600","2000-05-23 00:00:00","","","1","0","0","","2000-12-25 00:00:00","0","05-11","0","VACA VACIA","","6 TOROS","","Lote de En","","","","","","","","","0.246","14","11","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","False","Rebaño de la Finca","False","1","1","0"
"          27","","","","","","","1991-01-01 00:00:00","","2001-12-03 00:00:00","FONDEAGRI","VACA VACIA","LUCERNA","False","","","","","HACIENDA LA ESPERANZA","","","","","","","","","1","0","1","","2000-10-28 00:00:00","0","09-09","0","VACA VACIA","","3 HEMBRAS","","Lote deNov","","","","","","","","","0","11","11","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","False","Rebaño de la Finca","False","4","6","0"
"   609","VIEJITA","","","","","","1992-02-11 00:00:00","1992-02-12 00:00:00","2001-12-03 00:00:00","FONDEAGRI","VACA PROD.VACIA","MESTIZO HOLSTEIN 5/8","False","NEGRO","NEGRO","NEGRO","","AGUA SANTA","CONDICION 2","30","0","","370","1998-12-02 00:00:00","","","4","583","1","","1999-07-11 00:00:00","","","","VACA PROD.VACIA","","L1 VAC ORD","PROD. 3","ant","","LOTE 1","","","","","","","0.137","12","12","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","False","Rebaño de la Finca","False","0","0","0"
"003RS","003RS","","","","","","1988-11-11 00:00:00","2000-02-06 00:00:00","2003-04-29 00:00:00","FLOR BONITA","VACA VACIA","BRAHAMAN","False","","","","","","CONDICION 1","800","0","","800","2000-02-06 00:00:00","","","2","1512","0","","2003-04-29 00:00:00","0","10-03","0","VACA VACIA SIN CRIA","","L1","","","","","","","","","","","0.236","11","13","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","False","Rebaño de la Finca","False","1","2","0"
"005G","005G","","","","","","1988-11-11 00:00:00","","2003-05-02 00:00:00","FLOR BONITA","VACA VACIA","BRAHAMAN","False","","","","","CRIA","CONDICION 1","0","0","","0","","","","1","0","0","","2003-04-29 00:00:00","0","14-05","0","VACA VACIA","","L1","","","","","","","","","","","0","11","11","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","False","Rebaño de la Finca","False","1","1","0"
"023","023G","","","","","","1988-11-11 00:00:00","","2000-09-28 00:00:00","EMPRESAS D&H","VACA VACIA","BRAHAMAN","False","","","","","CRIA","CONDICION 1","0","0","","0","","","","1","0","0","","1998-03-16 00:00:00","0","09-04","0","VACA VACIA","","L1","","","","","","","","","","","0","11","11","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","False","Rebaño de la Finca","False","0","1","0"
"4847","LUNA CLARA","","","","","","1994-07-26 00:00:00","1996-07-01 00:00:00","2000-09-28 00:00:00","NUEVA","VACA VACIA","MESTIZO BRAHMAN","False","NO REGISTRAD","NO REGISTRAD","NO REGISTRAD","8-98 4-98","","CONDICION 2","352","0","0","341","1998-04-15 00:00:00","0","","2","423","0","","1998-08-18 00:00:00","0","02-10","0","VACA PROD.VACIA","","8 VENTA","","ant","","","","","","","","","0","11","12","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","False","Rebaño de la Finca","False","2","2","0"
"008G","008G","","","","","","1988-11-11 00:00:00","1988-11-11 00:00:00","2000-09-28 00:00:00","NUEVA","VACA PREÑADA","BRAHAMAN","False","","","","P280","","CONDICION 1","30","0","","30","1988-11-11 00:00:00","","","1","0","0","","1998-03-27 00:00:00","0","09-04","0","VACA VACIA","","L1","","","","","","","","","","","0","14","11","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","False","Rebaño de la Finca","False","0","1","0"
"011SA","011SA","","","","","","1988-11-11 00:00:00","","2000-09-28 00:00:00","NUEVA","VACA PREÑADA","BRAHAMAN","False","","","","GH","CRIA","CONDICION 1","0","0","","0","","","","0","","0","","","0","","","VACA VACIA","","L1","","","","","","","","","","","0","14","11","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","False","Rebaño de la Finca","False","0","0","0"
"026","026G","","","","","","1988-11-11 00:00:00","","2000-09-28 00:00:00","RB15","VACA PREÑADA","BRAHAMAN","False","","","","","CRIA","CONDICION 1","0","0","","0","","","","0","","0","","","0","","","VACA VACIA","","L1","","","","","","","","","","","0","14","11","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","False","Rebaño de la Finca","False","0","0","0"
"   430","","   153","","  S-50","","","1991-04-09 00:00:00","1991-04-09 00:00:00","1999-09-28 00:00:00","La Vergareña","VACA PREÑADA","CAMPOLARGO 2","False","","","","","CAMPOLARGO 1","CONDICION 1","18","0","0","18","","0","","4","308","1","","2000-06-28 00:00:00","0","01-08","0","VACA VACIA","","LOTE IA","","","","LOTE IA","","","","","","","0","14","11","","","","","","1984-08-17 00:00:00","1980-08-14 00:00:00","","","","","","","","","","","","","","0","0","0","0","1","False","Rebaño de la Finca","False","2","2","0"
"766/99","","   766","","  S-38","CALIBRE","","1999-07-13 00:00:00","1999-07-13 00:00:00","2000-05-22 00:00:00","AGROP. CAMPOLARGO","BECERRO","CAMPOLARGO","True","","","","","GANADERIA CAMPOLARGO(LIDIA)","CONDICION 3","18","750","","","","","","","","","","","","","","","","T-407MN","","","","","","","","","","","0","01","","","","","CAMPOLARGO","","","","","","","","","","","","","","","","","0","0","0","0","0.25","False","","False","0","0","0"
"B114","","114","COMPARSITA","","","","1999-06-28 00:00:00","1999-06-28 00:00:00","2000-05-29 00:00:00","CAÑO NEGRO","BECERRO","","True","","","","","FINCA EJEMPLO","CONDICION 2","30","18900","","","","","","0","","0","","","0","","","","","","","","","","","","","","","","0","01","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0.25","False","","False","0","0","0"
"0201","0201","012345678901","012345678901","001","CAMBALACHE","","1997-11-23 00:00:00","1997-11-23 00:00:00","2000-05-31 00:00:00","CAÑO NEGRO","MAUTE","MESTIZO CARORA","True","","","","Transferencia de Romana TRU-TEST...","MANUEL ANGULO SAN DIEGO","CONDICION 2","400","378000","","600","1999-11-03 00:00:00","","","0","","0","","","0","","","","","13 MATADERO 1","","BRAHMAN","","","","","","","","","0.081","03","","","","","MESTIZO CARORA","CAMPOLARGO 2","1994-12-01 00:00:00","1991-04-09 00:00:00","","","","","","","","","","","","","","0","0","0","606","0.5","False","","False","0","0","0"
"   243","CARTAGENA","","","","","","1989-07-10 00:00:00","1989-07-11 00:00:00","2000-06-05 00:00:00","CAÑO NEGRO","VACA VACIA SIN CRIA","MESTIZO PARDO 5/8","False","NEGRO","BAYA OSCURA","BLANCO","","CASA GRANDE","CONDICION 2","30","0","","450","1999-10-11 00:00:00","","","6","447","1","2000-03-10 00:00:00","1999-07-20 00:00:00","2","","","VACA VACIA","VACA PROD.VACIA","L3 VACEVAC","PROD. 1","ant","","","","","","","","","-0.031","13","11","12","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","False","Rebaño de la Finca","False","0","0","1"
"023SA","023SA","","","","","","1988-11-11 00:00:00","","2000-10-05 00:00:00","Marilin","VACA VACIA","BRAHAMAN","False","","","","","","CONDICION 1","0","0","","0","","","","0","","0","","","0","","","","","L1","","","","","","","","","","","0","11","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","False","Rebaño de la Finca","False","0","0","0"
"          01","Mostaza","          04","Josefa","         027","Anibal","","1994-01-01 00:00:00","1994-01-01 00:00:00","2000-10-13 00:00:00","finca16/10/2000","VACA PROD.VACIA","BRAHMAN","False","Negro","Rojo","Negro","Muy Buen Padrote","VALMORE MARTINEZ","C-1","25","378000","","600","2000-05-23 00:00:00","","","0","","0","2000-08-07 00:00:00","","1","","","VACA VACIA","","PRODUCCION","","","","","","","","","","","0.246","12","11","","","","HOLSTEIN/BRAHMMAN","HOLSTEIN/BRAHMMAN","1994-01-01 00:00:00","1995-01-01 00:00:00","","","","","","","","","","","","","13","0","0","0","0","1","False","VICTORIA","False","1","0","1"
"     9","AMARILLA","","","","","","1992-06-16 00:00:00","1992-06-18 00:00:00","2000-10-13 00:00:00","finca16/10/2000","VACA VACIA","MESTIZO PARDO 5/8","False","NEGRO","AMARILLO","BLANCO","","AYSMARLIN","CONDICION 1","33","0","","33","","","","3","523","1","","1999-06-07 00:00:00","0","03-11","","VACA PROD.VACIA","VACA PROD.VACIA","12 MESTIZO SENEPOL","","Lote de En","","LOTE 1","","","","","","","0","11","12","12","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","False","Rebaño de la Finca","False","0","0","0"
"    16","MUCHA PLATA","","","","","","1990-02-11 00:00:00","1990-02-12 00:00:00","2000-10-13 00:00:00","finca16/10/2000","VACA PROD.VACIA","MESTIZO HOLSTEIN 1/2","False","NEGRO","HOSCA OSCURA","BLANCO","","ELI0 SANGRONIS","CONDICION 2","31","0","","495","1999-10-11 00:00:00","","","2","485","1","","1998-09-03 00:00:00","0","08-02","","VACA PROD.VACIA","VACA PROD.VACIA","L1 VAC ORD","PROD. 4","ant","","LOTE 1","","","","","","","0.128","12","12","12","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","False","Rebaño de la Finca","False","0","0","0"
"   134","CARACAS","","","","","","1990-01-03 00:00:00","1990-01-04 00:00:00","2000-10-13 00:00:00","finca16/10/2000","VACA SECA/HORRA","MESTIZO PARDO 1/2","False","NEGRA","HOSCA OSCURA","BLANCA","","AGUA SANTA","CONDICION 1","32","0","","445","1998-12-02 00:00:00","","","6","393","0","2000-04-03 00:00:00","1999-06-24 00:00:00","1","","","VACA PROD.VACIA","","L1 VAC ORD","PROD. 2","ant","","","","","","","","","0.127","15","12","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","False","Rebaño de la Finca","False","0","0","1"
"   135","DOMINO","","","","","","1990-06-13 00:00:00","1990-06-14 00:00:00","2000-10-13 00:00:00","finca16/10/2000","VACA PREÑADA","MESTIZO HOLSTEIN 1/2","False","NEGRA","NEGRA BLANCO","BLANCO","PRODUCE TRES TETAS","AGUA SANTA","CONDICION 1","32","315000","","500","2000-03-08 00:00:00","","","6","359","1","","1999-04-29 00:00:00","","","","VACA PROD.VACIA","VACA PROD.VACIA","L1 VAC ORD","PROD. 3","ant","","","","","","","","","0.13","14","12","12","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","False","Rebaño de la Finca","False","0","0","0"
"   211","CASCABEL","","","","","","1990-03-06 00:00:00","1990-03-07 00:00:00","2000-10-13 00:00:00","finca16/10/2000","VACA PROD.VACIA","MESTIZO HOLSTEIN 1/2","False","BLANCO","NEGRO","NEGRO","","CASA GRANDE","CONDICION 2","33","0","","365","1999-09-14 00:00:00","","","4","766","1","","1998-07-29 00:00:00","1","","","VACA PROD.VACIA","VACA PROD.VACIA","L1 VAC ORD","PROD. 3","ant","","","","","","","","","-0.076","12","12","12","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","False","Rebaño de la Finca","False","0","0","0"
"   5/2","CLARAGUA 5/2","   798","","BB 353/3 (V8","bb353/3 v8","","1994-11-27 00:00:00","1994-11-27 00:00:00","2000-10-13 00:00:00","finca16/10/2000","VACA PREÑADA","BRAHMAN BLANCO","False","NEGRO","LEBRUNO","NEGRO","IA MN","CLARAGUA","CONDICION 1","32","4000","","600","2000-02-06 00:00:00","","","2","722","1","","1999-10-30 00:00:00","0","03-00","679.87","VACA VACIA","VACA VACIA","PURO S/R","","","","","","","","","","","0.236","14","11","11","","","CAMPOLARGO 2","","1996-10-16 00:00:00","","","","","","","","","","","","","","14","190","0","260","332","1","True","Rebaño de la Finca","False","1","2","0"
"005g-b","","005G","005G","","","","2003-04-29 00:00:00","2003-04-29 00:00:00","2003-05-02 00:00:00","FLOR BONITA","BECERRA","CAMPOLARGO 2","False","","","","","FINCA EJEMPLO","","30","18900","","30","","","","","","","","","","","","","","","","","","","","","","","","","0","02","","","","","","BRAHAMAN","","1988-11-11 00:00:00","","","","","","","","","","","","","","0","0","0","0","0.25","False","","False","0","0","0"
"006","006SA","","","","","","1988-11-11 00:00:00","","2003-05-02 00:00:00","FLOR BONITA","VACA VACIA","BRAHAMAN","False","","","NEGRO","","CRIA","CONDICION 1","0","0","","0","","","","2","1881","0","","2003-04-29 00:00:00","0","09-03","0","VACA VACIA","","L1","","","","","","","","","","","0","11","11","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","False","Rebaño de la Finca","False","1","2","0"
"006-b","becerro 006-b","006","006SA","205","","","2003-04-29 00:00:00","2003-04-29 00:00:00","2003-05-02 00:00:00","FLOR BONITA","BECERRO","CAMPOLARGO 2","True","","","","","FINCA EJEMPLO","CONDICION 3","35","22050","","35","","","","","","","","","","","","","","","","","","","","","","","","","0","01","","","","","SENEPOL","BRAHAMAN","1994-05-15 00:00:00","1988-11-11 00:00:00","1073502","","","","","","","","","","","","","0","0","0","0","0.25","False","","False","0","0","0"
"008","008SA","","","","","","1988-11-11 00:00:00","","2003-05-02 00:00:00","FLOR BONITA","VACA PREÑADA","BRAHAMAN","False","","","","","CRIA","CONDICION 1","0","0","","0","","","","1","0","0","","1998-03-09 00:00:00","0","09-03","0","VACA VACIA","","L1","","","","","","","","","","","0","14","11","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1","False","Rebaño de la Finca","False","0","1","0"
"23330","","  1710","","","","","2003-10-08 00:00:00","2003-10-08 00:00:00","2012-05-08 00:00:00","ANIMALES PERDIDOS (LA LUNA)","NOVILLA","BRAHMAN","False","","","","","AGROPECUARIA LA LUNA","CONDICION 1","30","1040000","","400","2006-06-16 00:00:00","205","2004-04-02 00:00:00","","","0","","","","","","","","NO PASARON OCT.2011","","","","LOTE DOS 2011","","","","","","","0.172","05","","","","","","BRAHMAN","","1994-01-01 00:00:00","","","","","","","","","","","","","","181","0","0","0","1","False","","False","0","0","0"
